Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg mIFOR,avg mICRA,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
7119,-1,LOC102042044,mRNA,NW_005054750.1:32708-100580,+,+,2,2,1,-0.005,0.005,0.993933614,0.99725614,no,0,0,0
11360,0,PHGDH,mRNA,NW_005054421.1:1017324-1020441,-,-,1,0,-1,-2.128,2.128,0.316654309,0.509004101,no,0,1,0
7507,753,LOC102044608,mRNA,NW_005055036.1:12238-20141,-,-,0,30,3.906890596,7.525,7.525,3.66244E-10,5.12508E-08,yes,1,1,1
9054,0,LOC115949169,lnc_RNA,NW_005054875.1:19092-41942,-,-,0,0,-3.321928095,0,0,0.347220294,0.540060481,no,0,0,0
532,-734,ANXA10,mRNA,NW_005054297.1:24435388-24457129,-,-,391,2,7.618385502,-7.344,7.344,2.09873E-09,2.29066E-07,yes,1,1,1
3454,560,FAM222A,mRNA,NW_005054362.1:4175169-4201201,+,-,2,90,5.523561956,5.603,5.603,3.57857E-05,0.000795635,yes,1,1,1
6551,0,LOC102038435,mRNA,NW_005054744.1:11473-102882,-,+,0,0,-3.321928095,0,0,1,1,no,0,0,0
5147,714,KIAA0319,mRNA,NW_005054325.1:2111900-2168515,+,-,0,23,3.523561956,7.14,7.14,8.25043E-11,1.32073E-08,yes,1,1,1
4220,-534,GPRIN2,mRNA,NW_005054300.1:18505857-18533819,-,-,14,0,2.807354922,-5.344,5.344,3.16428E-07,1.74268E-05,yes,1,1,1
6991,-15,LOC102041050,mRNA,NW_005054336.1:576985-600966,-,-,9,8,3.087462841,-0.147,0.147,0.889730864,0.938426491,no,0,0,0
7808,0,LOC106632114,mRNA,NW_005054808.1:9384-58100,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
15693,-688,XIRP1,mRNA,NW_005054367.1:1564814-1587841,-,-,20,0,3.321928095,-6.875,6.875,3.85163E-07,2.00185E-05,yes,1,1,1
6305,676,LOC102036849,mRNA,NW_005064235.1:7-645,+,-,0,34,4.087462841,6.757,6.757,3.55882E-10,5.08657E-08,yes,1,1,1
10051,-128,MORN3,mRNA,NW_005054362.1:2866164-2881812,-,-,5,2,1.807354922,-1.283,1.283,0.295057225,0.487831667,no,0,1,0
9586,-675,LYZ,mRNA,NW_005054425.1:1701324-1703064,-,-,26,0,3.700439718,-6.748,6.748,5.32504E-07,2.58836E-05,yes,1,1,1
6188,657,LOC102036126,mRNA,NW_005054312.1:800538-827454,-,-,0,21,3.392317423,6.573,6.573,1.5298E-09,1.76604E-07,yes,1,1,1
7152,-313,LOC102042286,mRNA,NW_005054319.1:704744-747284,+,-,196,22,6.768184325,-3.129,3.129,0.002065172,0.017158791,yes,2,1,1
5329,10,LAMB4,mRNA,NW_005054354.1:1507434-1550177,+,-,2,2,1,0.097,0.097,0.930727326,0.962473065,no,0,0,0
7134,0,LOC102042155,mRNA,NW_005054480.1:1279150-1280613,-,-,0,0,-3.321928095,0,0,0.906488796,0.947940466,no,0,0,0
6825,-49,LOC102040076,mRNA,NW_005054771.1:182-87429,-,+,4,2,1.584962501,-0.487,0.487,0.502304783,0.675327125,no,0,0,0
2523,128,DCDC2,mRNA,NW_005054325.1:2223525-2275425,+,-,18,43,4.930737338,1.276,1.276,0.249520502,0.438916158,no,2,1,0
5720,0,LOC102032980,mRNA,NW_005054849.1:3664-12020,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
8568,-628,LOC115948522,mRNA,NW_005054300.1:9002895-9007237,-,-,33685,433,14.05824546,-6.281,6.281,5.03814E-20,7.56099E-17,yes,2,1,1
6568,0,LOC102038536,mRNA,NW_005054686.1:167679-204423,+,-,0,0,-3.321928095,0,0,0.93761213,0.966277302,no,0,0,0
14790,593,TRABD2A,mRNA,NW_005054485.1:737364-837842,-,-,1,44,4.491853096,5.933,5.933,2.53192E-11,4.47033E-09,yes,1,1,1
12072,338,PVALB,mRNA,NW_005054334.1:2644634-2654474,-,-,1,7,2,3.381,3.381,0.000262039,0.003670987,yes,0,1,0
13132,-197,SH3TC1,mRNA,NW_005054372.1:2571088-2599558,-,-,275,70,7.430452552,-1.97,1.97,0.131590887,0.290472548,no,2,1,0
6449,-607,LOC102037801,mRNA,NW_005056294.1:284-1950,+,-,16,0,3,-6.07,6.07,1.72834E-06,6.92929E-05,yes,1,1,1
2273,602,CTHRC1,mRNA,NW_005054353.1:2493625-2497044,+,-,0,10,2.321928095,6.018,6.018,0.000777514,0.008379561,yes,1,1,1
6130,-601,LOC102035828,mRNA,NW_005063003.1:256-954,-,-,16,0,3,-6.011,6.011,0.001301516,0.012294257,yes,1,1,1
14033,591,SUSD2,mRNA,NW_005054330.1:1159679-1176267,-,-,0,10,2.321928095,5.912,5.912,0.000225955,0.003295622,yes,1,1,1
11262,586,PDZD7,mRNA,NW_005054300.1:5136710-5144187,-,-,15,845,8.74819285,5.863,5.863,1.4463E-34,7.17964E-31,yes,2,1,1
6627,-586,LOC102038924,mRNA,NW_005054436.1:1390726-1402305,-,-,124,2,5.977279923,-5.862,5.862,1.39779E-08,1.17356E-06,yes,1,1,1
3422,-577,FAM169A,mRNA,NW_005054476.1:376954-398364,+,-,384,7,7.611024797,-5.769,5.769,1.41579E-06,5.90209E-05,yes,1,1,1
13724,-157,SPATA13,mRNA,NW_005054302.1:2001310-2170880,+,-,7,2,2.169925001,-1.565,1.565,0.104570416,0.250243653,no,0,1,0
5995,-579,LOC102034805,mRNA,NW_005054460.1:17924-28559,-,-,2012,37,10.00070427,-5.787,5.787,2.42941E-37,2.91675E-33,yes,2,1,1
6061,576,LOC102035260,mRNA,NW_005055086.1:917-8663,+,-,0,12,2.584962501,5.762,5.762,1.26501E-06,5.38571E-05,yes,1,1,1
5386,-531,LDHD,mRNA,NW_005054343.1:2749661-2752855,+,-,24,0,3.584962501,-5.308,5.308,6.23972E-08,4.30541E-06,yes,1,1,1
140,-571,ACSL3,mRNA,NW_005054371.1:351943-387608,+,-,365,7,7.539158811,-5.709,5.709,2.15601E-13,6.99598E-11,yes,1,1,1
9711,-566,MARCHF3,mRNA,NW_005054670.1:167527-223128,+,-,24,0,3.584962501,-5.659,5.659,2.25023E-08,1.76577E-06,yes,1,1,1
14499,-372,TMEM120B,mRNA,NW_005054362.1:2883606-2892682,+,-,59,4,4.977279923,-3.724,3.724,0.000816603,0.008683909,yes,1,1,1
937,419,B3GALT5,mRNA,NW_005054656.1:285172-288637,-,-,0,6,1.584962501,4.191,4.191,0.001740115,0.015084347,yes,0,1,0
4272,-545,GRK5,mRNA,NW_005054451.1:537196-708976,-,-,11,0,2.459431619,-5.45,5.45,8.84008E-06,0.000267924,yes,1,1,1
4620,0,HSF2BP,mRNA,NW_005054438.1:495050-526933,+,-,1,0,-1,-0.416,0.416,0.815107893,0.893817971,no,0,0,0
3752,544,FRMD3,mRNA,NW_005054323.1:773432-855713,+,-,0,14,2.807354922,5.437,5.437,5.05583E-08,3.61312E-06,yes,1,1,1
6314,-542,LOC102036895,mRNA,NW_005054410.1:2491199-2502757,+,-,10,0,2.321928095,-5.422,5.422,0.000667754,0.007520693,yes,1,1,1
5611,537,LOC102032275,mRNA,NW_005054343.1:3747708-3757277,+,-,1,55,4.807354922,5.371,5.371,5.66663E-06,0.000185405,yes,1,1,1
3227,-537,EPSTI1,mRNA,NW_005054322.1:2077566-2127800,-,-,2286,55,10.19290922,-5.37,5.37,1.73025E-11,3.14749E-09,yes,2,1,1
4596,-537,HRH1,mRNA,NW_005054650.1:286118-289189,-,-,10,0,2.321928095,-5.366,5.366,9.64542E-05,0.001778162,yes,1,1,1
6250,27,LOC102036509,mRNA,NW_005054721.1:54617-110504,-,+,4,5,2.169925001,0.266,0.266,0.603227797,0.753313182,no,0,0,0
3682,-468,FLT1,mRNA,NW_005054302.1:581831-675121,+,-,56,2,4.857980995,-4.678,4.678,7.02184E-18,4.95907E-15,yes,1,1,1
5824,-528,LOC102033658,mRNA,NW_005054309.1:473162-475599,-,-,48,1,4.614709844,-5.277,5.277,0.001891416,0.016116634,yes,1,1,1
8373,-526,LOC115948281,mRNA,NW_005054370.1:821289-831924,+,-,200,5,6.6794801,-5.261,5.261,5.63648E-08,3.98068E-06,yes,1,1,1
5022,517,KATNAL2,mRNA,NW_005054365.1:2329131-2351240,+,-,0,11,2.459431619,5.174,5.174,5.88059E-07,2.82409E-05,yes,1,1,1
2403,-516,CUNH3orf52,mRNA,NW_005054320.1:1005814-1016055,+,-,12,0,2.584962501,-5.161,5.161,0.000207186,0.00311713,yes,1,1,1
2535,-410,DCP1B,mRNA,NW_005054326.1:51980-90819,+,-,213,12,6.813781191,-4.096,4.096,1.06844E-19,1.06897E-16,yes,2,1,1
13242,383,SLC16A4,mRNA,NW_005054425.1:2094286-2117956,-,-,1,10,2.459431619,3.833,3.833,0.007325597,0.041170579,yes,1,1,1
2917,-149,DUSP14,mRNA,NW_005054368.1:1226721-1230431,-,-,30,10,4.321928095,-1.492,1.492,0.225411335,0.411093187,no,2,1,0
7882,-489,LOC106632244,mRNA,NW_005054308.1:11117084-11121718,+,-,366,13,7.566054038,-4.89,4.89,2.58589E-11,4.49944E-09,yes,2,1,1
7043,106,LOC102041422,mRNA,NW_005054776.1:1685-90279,+,+,4,8,2.584962501,1.055,1.055,0.025667624,0.097845488,no,0,1,0
12785,487,RUSC2,mRNA,NW_005054471.1:11580-68574,-,-,1,37,4.247927513,4.865,4.865,9.34599E-09,8.5655E-07,yes,1,1,1
6883,-168,LOC102040415,mRNA,NW_005054772.1:61977-63228,-,-,7,2,2.169925001,-1.676,1.676,0.043197718,0.138708694,no,0,1,0
7114,482,LOC102042000,mRNA,NW_005054621.1:374304-380647,-,-,0,13,2.700439718,4.823,4.823,6.17155E-06,0.000200801,yes,1,1,1
9585,-477,LYVE1,mRNA,NW_005054416.1:784105-792465,-,-,30,1,3.95419631,-4.771,4.771,3.96052E-09,4.02966E-07,yes,1,1,1
14164,-333,TASOR,mRNA,NW_005054339.1:4765016-4793315,-,-,1606,160,9.786269628,-3.329,3.329,4.20502E-05,0.000911291,yes,2,1,1
7246,382,LOC102042979,mRNA,NW_005054380.1:1757134-1761388,+,-,2,25,3.754887502,3.824,3.824,0.001310052,0.012355446,yes,1,1,1
1717,-435,CERS1,mRNA,NW_005054662.1:257479-263820,-,-,13,1,2.807354922,-4.345,4.345,0.001188924,0.011469387,yes,1,1,1
6337,119,LOC102037024,mRNA,NW_005054299.1:617324-626316,-,-,1295,2952,11.05222839,1.188,1.188,0.103430019,0.248356162,no,2,1,0
15388,-446,USP18,mRNA,NW_005054384.1:865266-877230,+,-,884,40,8.851749041,-4.458,4.458,6.20448E-10,7.92081E-08,yes,2,1,1
5696,-444,LOC102032844,mRNA,NW_005054384.1:881243-891191,+,-,67,3,5.129283017,-4.439,4.439,1.95533E-07,1.17968E-05,yes,1,1,1
2898,-319,DTNA,mRNA,NW_005054305.1:6859868-7029080,+,-,107,12,5.894817763,-3.194,3.194,0.003616898,0.025232118,yes,2,1,1
12839,-439,SARDH,mRNA,NW_005054329.1:3535451-3561305,+,-,30,1,3.95419631,-4.394,4.394,0.001765094,0.01523488,yes,1,1,1
5025,439,KAZALD1,mRNA,NW_005054300.1:5157654-5162705,+,-,6,111,5.87036472,4.39,4.39,5.05241E-13,1.41068E-10,yes,1,1,1
9274,-434,LOC115949410,mRNA,NW_005058530.1:156-1642,+,-,730,36,8.581200582,-4.335,4.335,1.14783E-08,1.0208E-06,yes,2,1,1
1446,-264,CCDC66,mRNA,NW_005054339.1:4742550-4764026,+,-,84,13,5.599912842,-2.636,2.636,0.000242092,0.003476738,yes,2,1,1
10754,368,NR4A3,mRNA,NW_005054311.1:7593942-7620263,-,-,114,1460,9.620219826,3.678,3.678,6.88318E-08,4.56572E-06,yes,2,1,1
2052,-24,COL28A1,mRNA,NW_005054307.1:4898846-4956641,+,-,78,66,6.169925001,-0.238,0.238,0.713412946,0.833761884,no,2,0,0
2149,-110,CPO,mRNA,NW_005054298.1:24140402-24154177,+,-,3,2,1.321928095,-1.099,1.099,0.317184329,0.509583174,no,0,1,0
13629,355,SNTA1,mRNA,NW_005054561.1:117938-140779,-,-,5,57,4.95419631,3.549,3.549,5.51695E-07,2.67083E-05,yes,1,1,1
2504,203,DBNDD2,mRNA,NW_005054337.1:4390293-4397520,+,-,23,95,5.882643049,2.027,2.027,0.000144288,0.002369804,yes,2,1,1
9336,-303,LOC115949477,lnc_RNA,NW_005054302.1:11908711-11912902,-,-,16,2,3.169925001,-3.031,3.031,0.007018353,0.039859201,yes,1,1,1
2140,420,CPN2,mRNA,NW_005054309.1:215692-225342,+,-,35,644,8.407267764,4.203,4.203,2.71012E-18,2.03361E-15,yes,2,1,1
9119,-419,LOC115949242,mRNA,NW_005055209.1:2637-6819,-,-,278,15,7.194756854,-4.186,4.186,6.08594E-09,5.84542E-07,yes,2,1,1
2464,412,CYSRT1,mRNA,NW_005054358.1:800083-800833,+,-,0,11,2.459431619,4.119,4.119,0.00014315,0.002357549,yes,1,1,1
991,384,BBOX1,mRNA,NW_005054429.1:2029303-2046264,+,-,2,31,4.044394119,3.841,3.841,6.00125E-11,9.73662E-09,yes,1,1,1
5223,411,KLF11,mRNA,NW_005054318.1:6702695-6715007,-,-,106,1834,9.921840937,4.113,4.113,6.45217E-20,8.28054E-17,yes,2,1,1
5871,-95,LOC102034033,mRNA,NW_005054515.1:98304-220456,+,-,11,5,3,-0.952,0.952,0.30712032,0.499835511,no,1,0,0
6044,409,LOC102035141,mRNA,NW_005054444.1:895211-924794,-,-,12,212,6.807354922,4.093,4.093,1.04869E-08,9.46663E-07,yes,2,1,1
13868,306,SSX2IP,mRNA,NW_005054336.1:605097-618664,-,-,11,92,5.686500527,3.064,3.064,3.66873E-13,1.10117E-10,yes,2,1,1
14066,324,SYNDIG1L,mRNA,NW_005054301.1:6432441-6437603,+,-,28,268,7.209453366,3.239,3.239,0.000680529,0.007615249,yes,2,1,1
2383,-405,CUNH20orf194,mRNA,NW_005054548.1:521322-589016,-,-,58,4,4.95419631,-4.054,4.054,4.90149E-08,3.52379E-06,yes,1,1,1
14370,-93,THBS4,mRNA,NW_005054440.1:55160-94769,-,-,19,10,3.857980995,-0.926,0.926,0.249140078,0.43869262,no,2,0,0
1786,-178,CHDH,mRNA,NW_005054339.1:3631940-3645180,-,-,136,40,6.459431619,-1.777,1.777,0.074980472,0.20049344,no,2,1,0
3397,-403,FAM131B,mRNA,NW_005054589.1:417131-431456,-,-,10,1,2.459431619,-4.028,4.028,0.000302925,0.004111532,yes,1,1,1
491,-401,ANKRD31,mRNA,NW_005054476.1:218401-282072,+,-,52,3,4.781359714,-4.014,4.014,1.45628E-11,2.7319E-09,yes,1,1,1
330,-401,AIFM3,mRNA,NW_005054448.1:1469539-1514339,-,-,59,4,4.977279923,-4.005,4.005,9.82981E-05,0.001799035,yes,1,1,1
1954,278,CMBL,mRNA,NW_005054340.1:61978-69619,-,-,1282,8773,12.29562546,2.775,2.775,1.55489E-08,1.2936E-06,yes,2,1,1
2985,-331,EDA,mRNA,NW_005054456.1:44908-79578,-,-,231,24,6.994353437,-3.306,3.306,1.73146E-06,6.92929E-05,yes,2,1,1
6467,-211,LOC102037914,mRNA,NW_005054559.1:83284-86096,-,-,102,24,5.977279923,-2.112,2.112,0.050622104,0.153671044,no,2,1,0
6620,-400,LOC102038864,mRNA,NW_005054600.1:305293-308049,-,-,1836,115,9.929998063,-3.996,3.996,4.38078E-11,7.30496E-09,yes,2,1,1
12845,-392,SASH1,mRNA,NW_005054316.1:549550-671799,-,-,49,3,4.700439718,-3.92,3.92,1.3239E-05,0.000361243,yes,1,1,1
10315,-390,MYO10,mRNA,NW_005054340.1:2895552-3022544,-,-,32,2,4.087462841,-3.895,3.895,0.00217927,0.017798851,yes,1,1,1
15495,-387,VPS13C,mRNA,NW_005054398.1:1089666-1158693,-,-,2144,147,10.16176174,-3.865,3.865,4.55082E-11,7.48454E-09,yes,2,1,1
15985,-386,ZPLD1,mRNA,NW_005054391.1:995752-1026194,+,-,9,0,2.169925001,-3.864,3.864,4.28803E-05,0.000925938,yes,0,1,0
5933,-384,LOC102034377,mRNA,NW_005054297.1:24421603-24433139,-,-,12002,839,12.64846994,-3.838,3.838,1.06671E-14,4.57392E-12,yes,2,1,1
98,-111,ACAN,mRNA,NW_005054313.1:790129-839824,+,-,4,2,1.584962501,-1.114,1.114,0.291300066,0.48373684,no,0,1,0
4788,381,IL22RA2,mRNA,NW_005054316.1:3228699-3234585,-,-,33,459,7.942514505,3.809,3.809,8.66824E-15,3.85448E-12,yes,2,1,1
7667,-381,LOC102045521,mRNA,NW_005054388.1:701152-702087,-,-,10,1,2.459431619,-3.807,3.807,0.001471746,0.013437099,yes,1,1,1
4019,116,GJD4,mRNA,NW_005054511.1:221661-228416,+,-,4,9,2.700439718,1.163,1.163,0.114054295,0.265644102,no,0,1,0
13995,-145,STXBP5L,mRNA,NW_005054320.1:6206004-6390179,+,-,9,3,2.584962501,-1.45,1.45,0.056351995,0.165297349,no,0,1,0
12281,-378,RBBP8NL,mRNA,NW_005054337.1:131631-145164,-,-,15,1,3,-3.778,3.778,8.16014E-05,0.001555089,yes,1,1,1
1027,374,BCO2,mRNA,NW_005054447.1:136807-151940,+,-,5,68,5.189824559,3.74,3.74,2.62716E-13,8.08761E-11,yes,1,1,1
13904,178,STAR,mRNA,NW_005054597.1:392379-395117,-,-,32,111,6.159871337,1.782,1.782,0.006695286,0.038639365,yes,2,1,1
6290,76,LOC102036741,mRNA,NW_005054300.1:11785967-11791555,+,-,5,9,2.807354922,0.76,0.76,0.300152139,0.492231469,no,0,0,0
14040,368,SV2A,mRNA,NW_005054618.1:49526-57409,-,-,5,60,5.022367813,3.68,3.68,1.66437E-12,3.90397E-10,yes,1,1,1
5918,359,LOC102034299,mRNA,NW_005054427.1:1418648-1430399,-,-,1,13,2.807354922,3.589,3.589,6.22192E-05,0.001259703,yes,1,1,1
3224,-355,EPS8,mRNA,NW_005054384.1:1605835-1733374,-,-,11,1,2.584962501,-3.545,3.545,0.001052046,0.010499471,yes,1,1,1
10436,363,NCKAP5,mRNA,NW_005054298.1:5335147-5713343,+,-,1,9,2.321928095,3.627,3.627,0.002283875,0.018380496,yes,0,1,0
6380,-254,LOC102037327,mRNA,NW_005054372.1:1528618-1529418,-,-,456,78,8.060695932,-2.541,2.541,0.0035068,0.024737157,yes,2,1,1
8946,-324,LOC115949016,mRNA,NW_005054680.1:141173-142372,+,-,52,6,4.857980995,-3.236,3.236,0.000917283,0.009477537,yes,1,1,1
5575,358,LOC102031948,mRNA,NW_005054343.1:3735622-3740662,-,-,106,1266,9.422064766,3.576,3.576,1.34697E-12,3.30035E-10,yes,2,1,1
8614,199,LOC115948573,lnc_RNA,NW_005054435.1:426163-433834,+,-,2,10,2.584962501,1.992,1.992,0.013684337,0.064202482,no,1,1,0
5263,148,KLHL32,mRNA,NW_005054305.1:12941669-13036264,+,-,112,314,7.73470962,1.483,1.483,0.01841034,0.078159314,no,2,1,0
7194,13,LOC102042641,mRNA,NW_005054376.1:3054405-3059851,+,-,32,35,5.06608919,0.132,0.132,0.78990513,0.878719232,no,2,0,0
11717,-354,PPFIA4,mRNA,NW_005054425.1:372142-407557,-,-,126,11,6.098032083,-3.536,3.536,4.22793E-09,4.19508E-07,yes,2,1,1
14232,-177,TCERG1L,mRNA,NW_005054506.1:706741-869493,+,-,12,4,3,-1.773,1.773,0.019119122,0.08031637,no,1,1,0
10620,296,NKAIN1,mRNA,NW_005054428.1:1237327-1249681,-,-,31,241,7.087462841,2.962,2.962,0.000145178,0.002381152,yes,2,1,1
7322,352,LOC102043424,mRNA,NW_005054421.1:719900-732904,-,-,23,263,7.159871337,3.519,3.519,4.18139E-07,2.14538E-05,yes,2,1,1
3844,350,GABRR3,mRNA,NW_005054338.1:2155112-2180655,-,-,1,13,2.807354922,3.499,3.499,2.99587E-07,1.69662E-05,yes,1,1,1
15660,347,WNT4,mRNA,NW_005054473.1:1239811-1253079,+,-,3,32,4.129283017,3.472,3.472,3.39914E-08,2.55063E-06,yes,1,1,1
4702,122,IFITM5,mRNA,NW_005054416.1:1970354-1973894,-,-,7,17,3.584962501,1.223,1.223,0.07491046,0.200474525,no,1,1,0
4561,345,HOXA3,mRNA,NW_005054333.1:3447890-3462733,+,-,4,40,4.459431619,3.451,3.451,7.9882E-06,0.000246546,yes,1,1,1
5819,-343,LOC102033630,mRNA,NW_005054465.1:226483-238129,-,-,539,50,8.202123824,-3.431,3.431,3.12178E-09,3.23104E-07,yes,2,1,1
7893,-343,LOC115947657,mRNA,NW_005054308.1:11112279-11116632,+,-,1360,126,9.537218401,-3.429,3.429,2.66649E-11,4.57341E-09,yes,2,1,1
7216,341,LOC102042767,mRNA,NW_005054897.1:16854-42373,+,-,18,188,6.686500527,3.407,3.407,2.44966E-05,0.000588213,yes,2,1,1
