Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg ICRA,avg IFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
11657,327.9,POLQ,mRNA,NW_005054320.1:6394572-6443540,-,-,20,105,5.965784285,-2.364,2.364,4.79599E-05,0.00074609,yes,2,1,1
11491,326.6,PLA2G15,mRNA,NW_005054343.1:1671689-1687941,+,-,312,54,7.515699838,2.536,2.536,1.10185E-19,5.396E-17,yes,2,1,1
8726,322,LOC115948717,lnc_RNA,NW_005054487.1:428337-430256,+,-,412,44,7.832890014,3.22,3.22,9.38243E-36,2.87173E-32,yes,2,1,1
7738,318,LOC106631921,lnc_RNA,NW_005054392.1:603830-626449,-,-,100,29,6.011227255,1.78,1.78,0.014150523,0.058786851,no,2,1,0
5608,316.1,LOC102032244,mRNA,NW_005054532.1:778737-780769,-,-,54,6,4.906890596,3.161,3.161,3.8611E-08,1.93735E-06,yes,1,1,1
6620,314.7,LOC102038864,mRNA,NW_005054600.1:305293-308049,-,-,182,1614,9.810571635,-3.147,3.147,4.82676E-11,4.9245E-09,yes,2,1,1
6969,314.3,LOC102040923,pseudogene,NW_005054772.1:88125-88461,+,-,10,50,4.906890596,-2.397,2.397,0.000232523,0.002645709,yes,2,1,1
2140,310.9,CPN2,mRNA,NW_005054309.1:215692-225342,+,-,573,66,8.319672121,3.109,3.109,2.97429E-15,7.00274E-13,yes,2,1,1
8672,309.9,LOC115948647,mRNA,NW_005054458.1:659307-666707,+,-,231,27,7.011227255,3.099,3.099,7.38071E-24,7.53017E-21,yes,2,1,1
10113,309,MRPL24,mRNA,NW_005054582.1:16375-18118,-,-,13942,1637,12.92731501,3.09,3.09,9.63086E-41,3.93035E-37,yes,2,1,1
6603,308.4,LOC102038749,mRNA,NW_005054387.1:1682926-1690155,-,-,9,69,5.285402219,-2.982,2.982,1.45135E-07,6.01102E-06,yes,1,1,1
11580,306.8,PLPPR3,mRNA,NW_005054491.1:593087-597772,-,-,202,24,6.820178962,3.068,3.068,1.00905E-21,6.7023E-19,yes,2,1,1
3954,306.3,GEM,mRNA,NW_005054344.1:4572928-4581784,-,-,6,43,4.614709844,-2.871,2.871,4.64355E-05,0.000727925,yes,1,1,1
6682,302.7,LOC102039268,mRNA,NW_005054446.1:1360220-1365814,+,-,6,53,4.882643049,-3.027,3.027,1.7413E-15,4.5359E-13,yes,1,1,1
5933,301.4,LOC102034377,mRNA,NW_005054297.1:24421603-24433139,-,-,1506,12168,12.73914771,-3.014,3.014,5.38636E-10,4.29769E-08,yes,2,1,1
8996,300.9,LOC115949082,mRNA,NW_005054744.1:79786-87655,+,+,600,365,8.914385132,0.719,0.719,0.464841585,0.635517088,no,2,0,0
9489,300.7,LRRC3C,mRNA,NW_005054625.1:281896-284488,-,-,1268,198,9.517669388,2.678,2.678,1.29667E-07,5.55072E-06,yes,2,1,1
7322,298.6,LOC102043424,mRNA,NW_005054421.1:719900-732904,-,-,198,25,6.8008999,2.986,2.986,7.11466E-08,3.31197E-06,yes,2,1,1
13629,296.9,SNTA1,mRNA,NW_005054561.1:117938-140779,-,-,62,8,5.129283017,2.969,2.969,6.75072E-07,2.15794E-05,yes,1,1,1
11744,296.2,PPM1K,mRNA,NW_005054304.1:1369580-1381321,-,-,30,51,5.339850003,-0.772,0.772,0.181126531,0.340299628,no,2,0,0
2064,294.5,COL6A6,mRNA,NW_005054361.1:3722687-3766254,-,-,88,22,5.781359714,1.973,1.973,0.003065765,0.019387482,yes,2,1,1
672,293.2,ARHGEF38,mRNA,NW_005054304.1:14720945-14757423,-,-,36,19,4.781359714,0.881,0.881,0.08124694,0.19880191,no,2,0,0
1489,289.9,CCNG1,mRNA,NW_005054308.1:501834-506829,-,-,2274,375,10.37123213,2.601,2.601,1.72771E-12,2.48851E-10,yes,2,1,1
2918,289.9,DUSP15,mRNA,NW_005054337.1:2548585-2559661,-,-,35,173,6.700439718,-2.315,2.315,5.3983E-05,0.000822032,yes,2,1,1
8670,289.2,LOC115948645,lnc_RNA,NW_005054458.1:666837-672261,+,-,511,75,8.194756854,2.757,2.757,1.57583E-23,1.48407E-20,yes,2,1,1
7893,288.2,LOC115947657,mRNA,NW_005054308.1:11112279-11116632,+,-,156,1151,9.352043426,-2.882,2.882,6.08893E-13,9.68139E-11,yes,2,1,1
14040,287.6,SV2A,mRNA,NW_005054618.1:49526-57409,-,-,61,8,5.108524457,2.876,2.876,1.09916E-12,1.62133E-10,yes,1,1,1
5819,285.7,LOC102033630,mRNA,NW_005054465.1:226483-238129,-,-,54,391,7.797661526,-2.857,2.857,3.03957E-09,1.96897E-07,yes,2,1,1
3876,285.3,GALR2,mRNA,NW_005054370.1:2127973-2130555,-,-,12,87,5.62935662,-2.853,2.853,6.91228E-10,5.32245E-08,yes,2,1,1
11271,281.3,PEBP1,mRNA,NW_005054330.1:5563954-5566771,+,-,464,3222,10.84784036,-2.794,2.794,6.16484E-20,3.14484E-17,yes,2,1,1
11281,278.4,PEPD,mRNA,NW_005054484.1:805200-953694,+,-,535,167,8.45532722,1.677,1.677,0.006063905,0.031836929,yes,2,1,1
3845,278,GAD1,mRNA,NW_005054298.1:18197331-18223335,+,-,48,23,5.14974712,1.023,1.023,0.023036014,0.083256067,no,2,1,0
4153,277.8,GPHN,mRNA,NW_005054301.1:15489163-15685088,+,-,257,41,7.21916852,2.654,2.654,2.75427E-35,6.74411E-32,yes,2,1,1
5951,277.8,LOC102034485,mRNA,NW_005054578.1:349915-353961,-,-,81,115,6.614709844,-0.502,0.502,0.442127949,0.61549288,no,2,0,0
13081,277,SFXN3,mRNA,NW_005054300.1:5146187-5150458,+,-,1063,215,9.319672121,2.306,2.306,1.12576E-15,2.99625E-13,yes,2,1,1
13674,276.7,SOD1,mRNA,NW_005054530.1:700390-704551,-,-,11000,1617,12.62308129,2.767,2.767,1.1653E-14,2.41809E-12,yes,2,1,1
8163,274.9,LOC115947994,lnc_RNA,NW_005054337.1:1120650-1137336,-,-,236,44,7.129283017,2.411,2.411,7.64654E-27,1.17021E-23,yes,2,1,1
9669,274.8,MAP3K15,mRNA,NW_005054403.1:442639-498453,+,-,70,81,6.238404739,-0.215,0.215,0.670047714,0.791604184,no,2,0,0
7736,272.5,LOC106631910,mRNA,NW_005054383.1:361524-374257,+,-,8310,1667,12.28439036,2.318,2.318,1.04372E-05,0.000214401,yes,2,1,1
4905,268.6,IRF6,mRNA,NW_005054566.1:38134-42064,-,-,92,14,5.727920455,2.686,2.686,1.50004E-05,0.000287853,yes,2,1,1
13266,268.3,SLC22A18,mRNA,NW_005054437.1:888975-948495,-,-,28,16,4.459431619,0.771,0.771,0.195376377,0.358619637,no,2,0,0
1542,268,CD79B,mRNA,NW_005054839.1:35689-41824,+,-,85,319,7.658211483,-1.911,1.911,0.001032501,0.008516264,yes,2,1,1
8711,267.3,LOC115948698,lnc_RNA,NW_005054478.1:465559-466166,+,-,6123,39037,14.46275787,-2.673,2.673,8.70403E-17,2.7324E-14,yes,2,1,1
12739,266.5,RSAD2,mRNA,NW_005054318.1:8233265-8239893,-,-,2115,13409,12.92221272,-2.665,2.665,1.90603E-07,7.55196E-06,yes,2,1,1
2569,266,DDX11,mRNA,NW_005054326.1:1275547-1294650,-,-,621,264,8.789533645,1.236,1.236,0.033157845,0.106998285,no,2,1,0
13618,265.6,SNRNP40,mRNA,NW_005054428.1:1281617-1296753,-,-,4541,1536,11.56914358,1.564,1.564,1.27649E-06,3.71214E-05,yes,2,1,1
5672,265,LOC102032705,mRNA,NW_005054311.1:7962138-7966660,+,-,34920,219154,16.95488922,-2.65,2.65,2.89085E-05,0.000492934,yes,2,1,1
3401,264.9,FAM13A,mRNA,NW_005054304.1:6943460-7060781,-,-,511,151,8.370687407,1.76,1.76,2.51234E-06,6.55834E-05,yes,2,1,1
2383,263.9,CUNH20orf194,mRNA,NW_005054548.1:521322-589016,-,-,8,52,4.906890596,-2.639,2.639,6.43119E-06,0.000144207,yes,1,1,1
15961,263.1,ZNF704,mRNA,NW_005054423.1:325921-395615,+,-,335,63,7.636624621,2.401,2.401,6.59689E-47,4.03829E-43,yes,2,1,1
15879,262,ZHX1,transcript,NW_005054321.1:5097558-5124609,-,-,34,151,6.531381461,-2.124,2.124,2.33768E-15,5.84086E-13,yes,2,1,1
6235,261.7,LOC102036394,mRNA,NW_005054641.1:230630-232370,+,-,5718,6751,12.60605815,-0.24,0.24,0.637450198,0.768821079,no,2,0,0
11680,259.4,POMGNT2,mRNA,NW_005054361.1:4222522-4233361,-,-,1051,174,9.258566034,2.594,2.594,2.39159E-09,1.6088E-07,yes,2,1,1
2614,257.3,DENND4C,mRNA,NW_005054323.1:3985369-4044892,-,-,359,81,7.781359714,2.142,2.142,3.55304E-13,5.87837E-11,yes,2,1,1
13778,256.7,SPR,mRNA,NW_005054655.1:265742-267290,-,-,9,15,3.584962501,-0.649,0.649,0.254118939,0.428595973,no,1,0,0
9167,255.3,LOC115949297,rRNA,NW_005055486.1:4248-4400,-,-,1290,2526,10.89784546,-0.969,0.969,0.084708743,0.204146455,no,2,0,0
15790,255,ZBTB46,mRNA,NW_005054337.1:1971786-2019196,+,-,320,82,7.651051691,1.955,1.955,1.25927E-13,2.17144E-11,yes,2,1,1
5575,253.4,LOC102031948,mRNA,NW_005054343.1:3735622-3740662,-,-,1084,187,9.311748315,2.534,2.534,8.07559E-10,6.06561E-08,yes,2,1,1
2905,253.1,DTX3L,mRNA,NW_005054298.1:7561545-7569389,+,-,2343,13543,12.95546829,-2.531,2.531,1.56261E-07,6.33478E-06,yes,2,1,1
7216,252.3,LOC102042767,mRNA,NW_005054897.1:16854-42373,+,-,168,29,6.622051819,2.523,2.523,0.000100262,0.001366931,yes,2,1,1
5895,251.8,LOC102034174,mRNA,NW_005054341.1:4570913-4573569,-,-,18,89,5.741466986,-2.299,2.299,3.42049E-07,1.23897E-05,yes,2,1,1
4995,251.7,JMJD7,mRNA,NW_005054312.1:856110-865733,-,-,248,44,7.189824559,2.517,2.517,5.50925E-10,4.3516E-08,yes,2,1,1
2592,251.6,DDX58,mRNA,NW_005054379.1:436364-457001,+,-,325,1860,10.09341756,-2.516,2.516,2.98893E-09,1.94867E-07,yes,2,1,1
4795,249.9,IL4I1,mRNA,NW_005054770.1:28414-37076,+,-,37,210,6.948367232,-2.499,2.499,1.96902E-06,5.32157E-05,yes,2,1,1
3581,249.8,FDFT1,mRNA,NW_005054377.1:2316431-2328910,-,-,1774,314,10.027906,2.498,2.498,1.36057E-14,2.77624E-12,yes,2,1,1
13733,249.7,SPATA5L1,mRNA,NW_005054313.1:3330479-3338330,-,-,49,276,7.344295908,-2.497,2.497,1.16374E-08,6.53561E-07,yes,2,1,1
8009,247.9,LOC115947799,lnc_RNA,NW_005054317.1:6394759-6395405,+,-,632,170,8.647458426,1.891,1.891,3.55073E-09,2.26414E-07,yes,2,1,1
9736,247.2,MATN3,mRNA,NW_005054318.1:1647737-1661970,+,-,300,54,7.46760555,2.472,2.472,2.38675E-11,2.58593E-09,yes,2,1,1
7547,246.5,LOC102044823,mRNA,NW_005054480.1:1297301-1298586,-,-,620,1096,9.744833837,-0.823,0.823,0.096427155,0.222862374,no,2,0,0
7298,246.3,LOC102043273,mRNA,NW_005054898.1:5760-44323,+,-,766,2695,10.75697323,-1.815,1.815,0.001512898,0.011370415,yes,2,1,1
7499,246.2,LOC102044558,mRNA,NW_005054314.1:5108781-5113120,+,-,17,96,5.820178962,-2.462,2.462,1.05119E-13,1.8926E-11,yes,2,1,1
5808,245.2,LOC102033548,mRNA,NW_005054341.1:4111657-4112628,-,-,87,41,6,1.085,1.085,0.017811845,0.069485196,no,2,1,0
2650,245,DHCR7,mRNA,NW_005054402.1:1610452-1617641,+,-,110,20,6.022367813,2.45,2.45,1.40051E-09,1.00271E-07,yes,2,1,1
6292,244.4,LOC102036759,mRNA,NW_005054357.1:3211972-3219093,+,-,29,86,5.845490051,-1.574,1.574,0.002114593,0.014743146,yes,2,1,1
9502,243.8,LRRC59,mRNA,NW_005054370.1:3162464-3166163,-,-,92,224,7.303780748,-1.29,1.29,0.000366005,0.003836472,yes,2,1,1
1754,243.3,CFH,mRNA,NW_005054357.1:2420524-2449154,-,-,29,100,6.011227255,-1.786,1.786,0.001804198,0.012924984,yes,2,1,1
12337,241.8,RCC1,mRNA,NW_005054436.1:77634-86439,-,-,37746,7065,14.4515653,2.418,2.418,1.22322E-19,5.75997E-17,yes,2,1,1
1960,241.1,CMPK2,mRNA,NW_005054318.1:8245781-8250937,+,-,739,3931,11.18920683,-2.411,2.411,6.75222E-10,5.23212E-08,yes,2,1,1
8867,238.8,LOC115948891,lnc_RNA,NW_005054596.1:209000-210702,-,-,49,258,7.262094845,-2.388,2.388,6.39115E-08,3.03282E-06,yes,2,1,1
11461,238.1,PITRM1,mRNA,NW_005054422.1:1708471-1735655,-,-,498,2593,10.59385794,-2.378,2.378,3.95442E-09,2.48277E-07,yes,2,1,1
12434,237.1,RGS3,mRNA,NW_005054358.1:1202890-1265807,-,-,22,95,5.87036472,-2.105,2.105,3.75238E-06,9.22498E-05,yes,2,1,1
14237,236.5,TCF24,mRNA,NW_005054346.1:2598220-2601645,+,-,61,20,5.339850003,1.646,1.646,0.000921799,0.007869029,yes,2,1,1
10650,236.3,NMI,mRNA,NW_005054298.1:14548-24390,+,-,392,2017,10.23421868,-2.363,2.363,9.07549E-11,8.48178E-09,yes,2,1,1
5669,236,LOC102032670,mRNA,NW_005054358.1:276298-280115,-,-,442,813,9.293471649,-0.881,0.881,0.127199893,0.268131593,no,2,0,0
10250,235.5,MTTP,mRNA,NW_005054304.1:16356244-16383230,-,-,110,386,7.95419631,-1.807,1.807,1.2234E-05,0.000245945,yes,2,1,1
3683,234.7,FLT3,mRNA,NW_005054302.1:771003-804224,+,-,28,134,6.339850003,-2.241,2.241,3.89907E-07,1.37173E-05,yes,2,1,1
14684,232.9,TNFRSF13B,mRNA,NW_005054399.1:120828-123624,-,-,16,48,5,-1.545,1.545,0.017452496,0.068604975,no,2,1,0
9246,232.1,LOC115949382,snRNA,NW_005057261.1:1845-2035,+,-,52,10,4.95419631,2.321,2.321,4.38774E-05,0.000695843,yes,2,1,1
14777,232.1,TPPP3,mRNA,NW_005054343.1:3556578-3558733,-,-,86,206,7.189824559,-1.257,1.257,0.012558314,0.0542716,no,2,1,0
11032,231.7,P4HA1,mRNA,NW_005054594.1:447022-468773,-,-,638,155,8.631177056,2.042,2.042,2.47605E-15,6.06286E-13,yes,2,1,1
3176,231.3,ENPP5,mRNA,NW_005054659.1:76492-87287,-,-,744,304,9.033423002,1.291,1.291,0.000111012,0.001472505,yes,2,1,1
6484,230,LOC102038021,mRNA,NW_005054536.1:43400-45884,+,-,29,88,5.87036472,-1.615,1.615,0.006983598,0.035565802,yes,2,1,1
403,229.7,ALOX5,mRNA,NW_005054300.1:10670981-10692575,+,-,33,56,5.475733431,-0.775,0.775,0.010634305,0.048184972,yes,2,0,0
6298,229.7,LOC102036786,mRNA,NW_005054297.1:9273857-9276195,-,-,22,69,5.50779464,-1.653,1.653,0.001023294,0.008464993,yes,2,1,1
3271,229,ESD,mRNA,NW_005054322.1:3718139-3728747,-,-,812,184,8.960001932,2.144,2.144,7.93619E-14,1.45019E-11,yes,2,1,1
1545,227.8,CD82,mRNA,NW_005054312.1:4375147-4415160,-,-,178,866,9.027905997,-2.278,2.278,1.02707E-07,4.50697E-06,yes,2,1,1
12307,227.4,RBM43,mRNA,NW_005054298.1:27566-30211,+,-,388,1874,10.14338321,-2.274,2.274,1.68044E-05,0.000317005,yes,2,1,1
4061,227,GM2A,mRNA,NW_005054308.1:6231795-6243140,+,-,291,1269,9.607330314,-2.127,2.127,5.87005E-09,3.52289E-07,yes,2,1,1
3877,226.5,GALR3,mRNA,NW_005054334.1:3173404-3176824,+,-,21,42,4.977279923,-0.999,0.999,0.004901651,0.027364757,yes,2,0,0
7297,226.1,LOC102043268,pseudogene,NW_005054678.1:23283-56959,+,-,103,225,7.357552005,-1.122,1.122,0.005668978,0.030281363,yes,2,1,1
977,225.6,BANK1,mRNA,NW_005054304.1:15676791-15809361,-,-,55,185,6.906890596,-1.745,1.745,0.000809955,0.007144295,yes,2,1,1
2022,225.5,COBL,mRNA,NW_005054464.1:869066-983533,-,-,17,41,4.857980995,-1.315,1.315,0.013165304,0.055927418,no,2,1,0
10651,224.7,NMNAT1,mRNA,NW_005054450.1:1124244-1130408,+,-,27,82,5.768184325,-1.608,1.608,2.81075E-08,1.44589E-06,yes,2,1,1
4831,223,INIP,mRNA,NW_005054385.1:2162866-2174549,-,-,127,264,7.611024797,-1.058,1.058,0.008242766,0.040073613,yes,2,1,1
7694,223,LOC106631792,mRNA,NW_005054315.1:3581604-3588180,+,-,63,13,5.247927513,2.23,2.23,0.001284039,0.009981265,yes,2,1,1
1752,222.9,CFD,mRNA,NW_005054491.1:600886-602906,+,-,232,1087,9.365228849,-2.229,2.229,4.22746E-08,2.11252E-06,yes,2,1,1
6923,222.7,LOC102040639,mRNA,NW_005054594.1:11265-24765,+,-,50,236,7.159871337,-2.227,2.227,0.001544446,0.011536699,yes,2,1,1
15579,222.3,WDFY4,mRNA,NW_005054300.1:9809194-9917574,-,-,164,460,8.285402219,-1.483,1.483,0.004768908,0.026757899,yes,2,1,1
15124,222.1,TSTD3,mRNA,NW_005054305.1:14186756-14189100,+,-,38,178,6.754887502,-2.221,2.221,9.61723E-13,1.49043E-10,yes,2,1,1
2074,221.6,COLEC12,mRNA,NW_005054305.1:1486099-1570995,+,-,70,130,6.64385619,-0.893,0.893,0.092789332,0.217692516,no,2,0,0
11787,221.3,PPP3CC,mRNA,NW_005054703.1:11468-36554,-,-,90,130,6.781359714,-0.521,0.521,0.265589482,0.440862886,no,2,0,0
7508,220.6,LOC102044609,mRNA,NW_005054298.1:7589208-7608038,+,-,1890,8718,12.37286506,-2.206,2.206,1.35203E-05,0.000266124,yes,2,1,1
15028,220.6,TRNAS-UGA,tRNA,NW_005054488.1:1182840-1182921,+,-,57,12,5.108524457,2.206,2.206,1.4839E-05,0.000285202,yes,2,1,1
9138,220.4,LOC115949267,lnc_RNA,NW_005055302.1:7473-9215,+,-,64,14,5.285402219,2.204,2.204,6.97957E-10,5.34068E-08,yes,2,1,1
3168,220.1,ENOPH1,mRNA,NW_005054304.1:4730753-4739179,-,-,1789,543,10.18735207,1.721,1.721,9.77231E-07,2.97618E-05,yes,2,1,1
1001,219.8,BCAR1,mRNA,NW_005054343.1:2735812-2741666,+,-,231,51,7.139551352,2.198,2.198,1.70589E-17,6.32885E-15,yes,2,1,1
14746,219.6,TOX,mRNA,NW_005054305.1:11680864-11899568,-,-,13,38,4.672425342,-1.591,1.591,0.000929985,0.007912574,yes,2,1,1
14697,219.5,TNFSF15,mRNA,NW_005054358.1:2824799-2843592,-,-,59,58,5.87036472,0.02,0.02,0.968669164,0.983286342,no,2,0,0
1357,219.1,CAVIN2,mRNA,NW_005054298.1:28157154-28193574,+,-,30,135,6.366322214,-2.191,2.191,1.587E-11,1.76633E-09,yes,2,1,1
5907,218.9,LOC102034253,mRNA,NW_005054641.1:218577-219395,+,-,114,247,7.495855027,-1.111,1.111,0.011381558,0.050633871,no,2,1,0
13732,218.9,SPATA5,mRNA,NW_005054435.1:1175254-1335810,+,-,18,57,5.22881869,-1.677,1.677,0.003557646,0.021625605,yes,2,1,1
14472,218.4,TMCC3,mRNA,NW_005054331.1:3653740-3785987,-,-,14,51,5.022367813,-1.945,1.945,0.000274677,0.003028045,yes,2,1,1
12969,218.3,SELE,mRNA,NW_005054421.1:2052380-2058317,+,-,583,166,8.548821908,1.809,1.809,0.031384562,0.103207412,no,2,1,0
2976,218.2,ECHDC3,mRNA,NW_005054409.1:193733-199119,+,-,662,166,8.693486957,2.002,2.002,4.71715E-17,1.56087E-14,yes,2,1,1
1582,217.9,CDCA7,mRNA,NW_005054298.1:19099772-19108529,+,-,20,54,5.209453366,-1.419,1.419,0.002391706,0.01608882,yes,2,1,1
4865,217,INTS6,mRNA,NW_005054322.1:5471244-5508313,-,-,160,724,8.787902559,-2.17,2.17,1.427E-10,1.27523E-08,yes,2,1,1
3300,216.5,ETV7,mRNA,NW_005054472.1:1357832-1367144,+,-,49,220,7.071462363,-2.165,2.165,6.55503E-07,2.1175E-05,yes,2,1,1
