GeneID,locus,avg mIFOR,avg mUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
LOC102043511,NW_005054830.1:15236-56060,1,1,0.0,-0.2,0.2,0.85,1.00,no,0,0,0
LOC115949042,NW_005054715.1:150264-151374,0,0,-3.3,0.0,0.0,0.95,1.00,no,0,0,0
LOC115949206,NW_005055056.1:7164-19942,0,1,-1.0,-1.5,1.5,0.18,0.82,no,0,1,0
LOC102031646,NW_005054844.1:20355-41810,1,1,0.0,-0.6,0.6,0.48,0.96,no,0,0,0
LOC115949181,NW_005054946.1:2836-17579,1,1,0.0,-0.4,0.4,0.63,0.98,no,0,0,0
LOC102045333,NW_005054760.1:15727-101030,0,0,-3.3,0.0,0.0,0.95,1.00,no,0,0,0
LOC102039047,NW_005054701.1:12272-125227,0,0,-3.3,0.0,0.0,0.78,0.99,no,0,0,0
LOC102044942,NW_005055037.1:1538-24655,0,1,-1.0,-0.8,0.8,0.56,0.97,no,0,0,0
LOC102042439,NW_005054890.1:7725-43823,0,0,-3.3,0.0,0.0,0.35,0.92,no,0,0,0
LOC102042602,NW_005054895.1:13444-43576,0,0,-3.3,0.0,0.0,0.51,0.96,no,0,0,0
S100B,NW_005054501.1:1168571-1171030,24,42,5.0,-0.8,0.8,0.71,0.98,no,2,0,0
LOC115949447,NW_005061490.1:320-453,54,35,5.5,0.6,0.6,0.34,0.92,no,2,0,0
LOC102042934,NW_005055016.1:5238-10398,0,0,-3.3,0.0,0.0,1.00,1.00,no,0,0,0
LOC115949136,NW_005054798.1:21238-73872,0,0,-3.3,0.0,0.0,0.79,0.99,no,0,0,0
LOC102042499,NW_005054752.1:17106-86099,1,1,0.0,-0.3,0.3,0.72,0.98,no,0,0,0
LOC102034430,NW_005054796.1:5162-10115,3,1,1.0,1.1,1.1,0.16,0.80,no,0,1,0
LOC102032917,NW_005054918.1:35329-38920,0,0,-3.3,0.0,0.0,1.00,1.00,no,0,0,0
LOC102042044,NW_005054750.1:32708-100580,2,2,1.0,-0.1,0.1,0.83,0.99,no,0,0,0
PHGDH,NW_005054421.1:1017324-1020441,1,1,0.0,0.6,0.6,0.76,0.99,no,0,0,0
LOC102044608,NW_005055036.1:12238-20141,0,1,-1.0,-2.5,2.5,0.05,0.62,no,0,1,0
LOC115949169,NW_005054875.1:19092-41942,0,0,-3.3,0.0,0.0,0.44,0.95,no,0,0,0
ANXA10,NW_005054297.1:24435388-24457129,391,420,8.7,-0.1,0.1,0.93,1.00,no,2,0,0
FAM222A,NW_005054362.1:4175169-4201201,2,4,1.6,-1.1,1.1,0.39,0.94,no,0,1,0
LOC102038435,NW_005054744.1:11473-102882,0,0,-3.3,0.0,0.0,0.56,0.97,no,0,0,0
KIAA0319,NW_005054325.1:2111900-2168515,0,0,-3.3,0.0,0.0,0.54,0.97,no,0,0,0
GPRIN2,NW_005054300.1:18505857-18533819,14,39,4.7,-1.5,1.5,0.01,0.41,no,2,1,0
LOC102041050,NW_005054336.1:576985-600966,9,8,3.1,0.2,0.2,0.87,1.00,no,0,0,0
LOC106632114,NW_005054808.1:9384-58100,0,0,-3.3,0.0,0.0,0.43,0.95,no,0,0,0
XIRP1,NW_005054367.1:1564814-1587841,20,11,4.0,0.9,0.9,0.36,0.93,no,2,0,0
LOC102036849,NW_005064235.1:7-645,0,0,-3.3,0.0,0.0,0.67,0.98,no,0,0,0
MORN3,NW_005054362.1:2866164-2881812,5,37,4.4,-2.8,2.8,0.01,0.36,no,1,1,0
LYZ,NW_005054425.1:1701324-1703064,26,1,3.8,4.3,4.3,0.00,0.05,yes,1,1,1
LOC102036126,NW_005054312.1:800538-827454,0,1,-1.0,-1.6,1.6,0.22,0.85,no,0,1,0
LOC102042286,NW_005054319.1:704744-747284,196,20,6.8,3.3,3.3,0.00,0.10,no,2,1,0
LAMB4,NW_005054354.1:1507434-1550177,2,15,3.1,-2.8,2.8,0.01,0.31,no,1,1,0
LOC102042155,NW_005054480.1:1279150-1280613,0,1,-1.0,-0.3,0.3,0.85,1.00,no,0,0,0
LOC102040076,NW_005054771.1:182-87429,4,2,1.6,1.1,1.1,0.16,0.80,no,0,1,0
DCDC2,NW_005054325.1:2223525-2275425,18,1,3.2,5.1,5.1,0.00,0.03,yes,1,1,1
LOC102032980,NW_005054849.1:3664-12020,0,0,-3.3,0.0,0.0,1.00,1.00,no,0,0,0
LOC115948522,NW_005054300.1:9002895-9007237,33685,7080,14.3,2.3,2.3,0.00,0.10,no,2,1,0
LOC102038536,NW_005054686.1:167679-204423,0,0,-3.3,0.0,0.0,0.96,1.00,no,0,0,0
TRABD2A,NW_005054485.1:737364-837842,1,1,0.0,0.5,0.5,0.67,0.98,no,0,0,0
PVALB,NW_005054334.1:2644634-2654474,1,0,-1.0,1.7,1.7,0.14,0.79,no,0,1,0
SH3TC1,NW_005054372.1:2571088-2599558,275,16,7.2,4.0,4.0,0.00,0.14,no,2,1,0
LOC102037801,NW_005056294.1:284-1950,16,16,4.0,0.1,0.1,0.94,1.00,no,2,0,0
CTHRC1,NW_005054353.1:2493625-2497044,0,0,-3.3,0.0,0.0,0.52,0.96,no,0,0,0
LOC102035828,NW_005063003.1:256-954,16,11,3.8,0.5,0.5,0.75,0.99,no,2,0,0
SUSD2,NW_005054330.1:1159679-1176267,0,0,-3.3,0.0,0.0,0.64,0.98,no,0,0,0
PDZD7,NW_005054300.1:5136710-5144187,15,50,5.0,-1.8,1.8,0.00,0.05,yes,2,1,1
LOC102038924,NW_005054436.1:1390726-1402305,124,66,6.6,0.9,0.9,0.33,0.91,no,2,0,0
FAM169A,NW_005054476.1:376954-398364,384,248,8.3,0.6,0.6,0.58,0.98,no,2,0,0
SPATA13,NW_005054302.1:2001310-2170880,7,3,2.3,1.3,1.3,0.16,0.80,no,0,1,0
LOC102034805,NW_005054460.1:17924-28559,2012,2372,11.1,-0.2,0.2,0.58,0.98,no,2,0,0
LOC102035260,NW_005055086.1:917-8663,0,1,-1.0,-1.6,1.6,0.24,0.87,no,0,1,0
LDHD,NW_005054343.1:2749661-2752855,24,56,5.3,-1.2,1.2,0.05,0.62,no,2,1,0
ACSL3,NW_005054371.1:351943-387608,365,333,8.4,0.1,0.1,0.85,1.00,no,2,0,0
MARCHF3,NW_005054670.1:167527-223128,24,11,4.1,1.1,1.1,0.07,0.66,no,2,1,0
TMEM120B,NW_005054362.1:2883606-2892682,59,367,7.7,-2.6,2.6,0.01,0.36,no,2,1,0
B3GALT5,NW_005054656.1:285172-288637,0,0,-3.3,0.0,0.0,0.92,1.00,no,0,0,0
GRK5,NW_005054451.1:537196-708976,11,19,3.9,-0.8,0.8,0.35,0.92,no,2,0,0
HSF2BP,NW_005054438.1:495050-526933,1,14,2.9,-4.4,4.4,0.00,0.26,no,1,1,0
FRMD3,NW_005054323.1:773432-855713,0,0,-3.3,0.0,0.0,0.83,0.99,no,0,0,0
LOC102036895,NW_005054410.1:2491199-2502757,10,11,3.4,-0.1,0.1,0.97,1.00,no,2,0,0
LOC102032275,NW_005054343.1:3747708-3757277,1,10,2.5,-2.9,2.9,0.01,0.37,no,1,1,0
EPSTI1,NW_005054322.1:2077566-2127800,2286,135,10.2,4.1,4.1,0.00,0.00,yes,2,1,1
HRH1,NW_005054650.1:286118-289189,10,5,2.9,0.9,0.9,0.39,0.94,no,1,0,0
LOC102036509,NW_005054721.1:54617-110504,4,4,2.0,0.3,0.3,0.63,0.98,no,0,0,0
FLT1,NW_005054302.1:581831-675121,56,35,5.5,0.6,0.6,0.09,0.71,no,2,0,0
LOC102033658,NW_005054309.1:473162-475599,48,4,4.7,3.4,3.4,0.03,0.51,no,1,1,0
LOC115948281,NW_005054370.1:821289-831924,200,21,6.8,3.3,3.3,0.00,0.08,no,2,1,0
KATNAL2,NW_005054365.1:2329131-2351240,0,1,-1.0,-1.6,1.6,0.18,0.81,no,0,1,0
CUNH3orf52,NW_005054320.1:1005814-1016055,12,4,3.0,1.7,1.7,0.13,0.78,no,1,1,0
DCP1B,NW_005054326.1:51980-90819,213,373,8.2,-0.8,0.8,0.05,0.60,no,2,0,0
SLC16A4,NW_005054425.1:2094286-2117956,1,11,2.6,-4.0,4.0,0.00,0.24,no,1,1,0
DUSP14,NW_005054368.1:1226721-1230431,30,277,7.3,-3.2,3.2,0.01,0.29,no,2,1,0
LOC106632244,NW_005054308.1:11117084-11121718,366,179,8.1,1.0,1.0,0.13,0.78,no,2,1,0
LOC102041422,NW_005054776.1:1685-90279,4,3,1.8,0.3,0.3,0.59,0.98,no,0,0,0
RUSC2,NW_005054471.1:11580-68574,1,2,0.6,-0.8,0.8,0.40,0.94,no,0,0,0
LOC102040415,NW_005054772.1:61977-63228,7,10,3.1,-0.5,0.5,0.53,0.97,no,1,0,0
LOC102042000,NW_005054621.1:374304-380647,0,7,1.8,-4.0,4.0,0.00,0.06,no,0,1,0
LYVE1,NW_005054416.1:784105-792465,30,36,5.0,-0.3,0.3,0.60,0.98,no,2,0,0
TASOR,NW_005054339.1:4765016-4793315,1606,4536,11.6,-1.5,1.5,0.06,0.62,no,2,1,0
LOC102042979,NW_005054380.1:1757134-1761388,2,1,0.6,0.2,0.2,0.87,1.00,no,0,0,0
CERS1,NW_005054662.1:257479-263820,13,5,3.2,1.5,1.5,0.19,0.83,no,1,1,0
LOC102037024,NW_005054299.1:617324-626316,1295,129,9.5,3.3,3.3,0.00,0.00,yes,2,1,1
USP18,NW_005054384.1:865266-877230,884,116,9.0,2.9,2.9,0.00,0.02,yes,2,1,1
LOC102032844,NW_005054384.1:881243-891191,67,11,5.3,2.7,2.7,0.00,0.09,no,2,1,0
DTNA,NW_005054305.1:6859868-7029080,107,10,5.9,3.4,3.4,0.00,0.14,no,2,1,0
SARDH,NW_005054329.1:3535451-3561305,30,6,4.2,2.3,2.3,0.07,0.66,no,1,1,0
KAZALD1,NW_005054300.1:5157654-5162705,6,13,3.2,-1.3,1.3,0.04,0.55,no,1,1,0
LOC115949410,NW_005058530.1:156-1642,730,378,9.1,1.0,1.0,0.19,0.83,no,2,0,0
CCDC66,NW_005054339.1:4742550-4764026,84,277,7.5,-1.7,1.7,0.01,0.36,no,2,1,0
NR4A3,NW_005054311.1:7593942-7620263,114,115,6.8,0.0,0.0,0.99,1.00,no,2,0,0
COL28A1,NW_005054307.1:4898846-4956641,78,49,6.0,0.7,0.7,0.29,0.90,no,2,0,0
CPO,NW_005054298.1:24140402-24154177,3,15,3.2,-2.3,2.3,0.02,0.44,no,1,1,0
SNTA1,NW_005054561.1:117938-140779,5,3,2.0,0.9,0.9,0.23,0.86,no,0,0,0
DBNDD2,NW_005054337.1:4390293-4397520,23,8,4.0,1.6,1.6,0.00,0.23,no,1,1,0
LOC115949477,NW_005054302.1:11908711-11912902,16,14,3.9,0.2,0.2,0.87,1.00,no,2,0,0
CPN2,NW_005054309.1:215692-225342,35,84,5.9,-1.3,1.3,0.01,0.31,no,2,1,0
LOC115949242,NW_005055209.1:2637-6819,278,282,8.1,0.0,0.0,0.97,1.00,no,2,0,0
CYSRT1,NW_005054358.1:800083-800833,0,3,0.6,-2.1,2.1,0.05,0.61,no,0,1,0
BBOX1,NW_005054429.1:2029303-2046264,2,2,1.0,0.4,0.4,0.60,0.98,no,0,0,0
KLF11,NW_005054318.1:6702695-6715007,106,238,7.4,-1.2,1.2,0.01,0.31,no,2,1,0
LOC102034033,NW_005054515.1:98304-220456,11,4,2.9,1.6,1.6,0.08,0.68,no,1,1,0
LOC102035141,NW_005054444.1:895211-924794,12,40,4.7,-1.7,1.7,0.02,0.41,no,2,1,0
SSX2IP,NW_005054336.1:605097-618664,11,7,3.2,0.6,0.6,0.17,0.81,no,1,0,0
SYNDIG1L,NW_005054301.1:6432441-6437603,28,18,4.5,0.6,0.6,0.50,0.96,no,2,0,0
CUNH20orf194,NW_005054548.1:521322-589016,58,38,5.6,0.6,0.6,0.35,0.92,no,2,0,0
THBS4,NW_005054440.1:55160-94769,19,9,3.8,1.0,1.0,0.20,0.84,no,1,1,0
CHDH,NW_005054339.1:3631940-3645180,136,57,6.6,1.3,1.3,0.19,0.83,no,2,1,0
FAM131B,NW_005054589.1:417131-431456,10,2,2.6,2.0,2.0,0.03,0.48,no,1,1,0
ANKRD31,NW_005054476.1:218401-282072,52,19,5.1,1.5,1.5,0.00,0.23,no,2,1,0
AIFM3,NW_005054448.1:1469539-1514339,59,47,5.7,0.3,0.3,0.75,0.99,no,2,0,0
CMBL,NW_005054340.1:61978-69619,1282,597,9.9,1.1,1.1,0.02,0.44,no,2,1,0
EDA,NW_005054456.1:44908-79578,231,297,8.0,-0.4,0.4,0.58,0.98,no,2,0,0
LOC102037914,NW_005054559.1:83284-86096,102,237,7.4,-1.2,1.2,0.24,0.87,no,2,1,0
LOC102038864,NW_005054600.1:305293-308049,1836,433,10.1,2.1,2.1,0.00,0.08,no,2,1,0
SASH1,NW_005054316.1:549550-671799,49,6,4.8,3.1,3.1,0.00,0.06,no,1,1,0
MYO10,NW_005054340.1:2895552-3022544,32,36,5.1,-0.2,0.2,0.87,1.00,no,2,0,0
VPS13C,NW_005054398.1:1089666-1158693,2144,1626,10.9,0.4,0.4,0.48,0.96,no,2,0,0
ZPLD1,NW_005054391.1:995752-1026194,9,12,3.4,-0.4,0.4,0.48,0.96,no,1,0,0
LOC102034377,NW_005054297.1:24421603-24433139,12002,14033,13.7,-0.2,0.2,0.64,0.98,no,2,0,0
ACAN,NW_005054313.1:790129-839824,4,13,3.1,-1.7,1.7,0.08,0.68,no,1,1,0
IL22RA2,NW_005054316.1:3228699-3234585,33,69,5.7,-1.1,1.1,0.03,0.49,no,2,1,0
LOC102045521,NW_005054388.1:701152-702087,10,7,3.1,0.5,0.5,0.58,0.98,no,1,0,0
GJD4,NW_005054511.1:221661-228416,4,1,1.3,1.7,1.7,0.05,0.60,no,0,1,0
STXBP5L,NW_005054320.1:6206004-6390179,9,4,2.7,1.0,1.0,0.18,0.82,no,0,0,0
RBBP8NL,NW_005054337.1:131631-145164,15,7,3.5,1.0,1.0,0.19,0.83,no,1,1,0
BCO2,NW_005054447.1:136807-151940,5,10,2.9,-1.0,1.0,0.06,0.63,no,1,0,0
STAR,NW_005054597.1:392379-395117,32,69,5.7,-1.1,1.1,0.08,0.69,no,2,1,0
LOC102036741,NW_005054300.1:11785967-11791555,5,12,3.1,-1.2,1.2,0.09,0.71,no,1,1,0
SV2A,NW_005054618.1:49526-57409,5,10,2.9,-1.2,1.2,0.03,0.51,no,1,1,0
LOC102034299,NW_005054427.1:1418648-1430399,1,2,0.6,-1.0,1.0,0.31,0.91,no,0,0,0
EPS8,NW_005054384.1:1605835-1733374,11,1,2.6,3.5,3.5,0.00,0.12,no,1,1,0
NCKAP5,NW_005054298.1:5335147-5713343,1,2,0.6,-1.2,1.2,0.32,0.91,no,0,1,0
LOC102037327,NW_005054372.1:1528618-1529418,456,42,8.0,3.5,3.5,0.00,0.02,yes,2,1,1
LOC115949016,NW_005054680.1:141173-142372,52,50,5.7,0.1,0.1,0.94,1.00,no,2,0,0
LOC102031948,NW_005054343.1:3735622-3740662,106,448,8.1,-2.1,2.1,0.00,0.01,yes,2,1,1
LOC115948573,NW_005054435.1:426163-433834,2,2,1.0,0.6,0.6,0.47,0.96,no,0,0,0
KLHL32,NW_005054305.1:12941669-13036264,112,140,7.0,-0.3,0.3,0.61,0.98,no,2,0,0
LOC102042641,NW_005054376.1:3054405-3059851,32,35,5.1,-0.2,0.2,0.74,0.99,no,2,0,0
PPFIA4,NW_005054425.1:372142-407557,126,32,6.3,2.0,2.0,0.00,0.09,no,2,1,0
TCERG1L,NW_005054506.1:706741-869493,12,7,3.2,0.7,0.7,0.30,0.90,no,1,0,0
NKAIN1,NW_005054428.1:1237327-1249681,31,25,4.8,0.3,0.3,0.70,0.98,no,2,0,0
LOC102043424,NW_005054421.1:719900-732904,23,35,4.9,-0.6,0.6,0.36,0.93,no,2,0,0
GABRR3,NW_005054338.1:2155112-2180655,1,2,0.6,-0.9,0.9,0.24,0.87,no,0,0,0
WNT4,NW_005054473.1:1239811-1253079,3,3,1.6,0.1,0.1,0.90,1.00,no,0,0,0
IFITM5,NW_005054416.1:1970354-1973894,7,5,2.6,0.7,0.7,0.33,0.91,no,0,0,0
HOXA3,NW_005054333.1:3447890-3462733,4,4,2.0,-0.2,0.2,0.82,0.99,no,0,0,0
LOC102033630,NW_005054465.1:226483-238129,539,73,8.3,2.9,2.9,0.00,0.00,yes,2,1,1
LOC115947657,NW_005054308.1:11112279-11116632,1360,335,9.7,2.0,2.0,0.00,0.02,yes,2,1,1
LOC102042767,NW_005054897.1:16854-42373,18,64,5.4,-1.8,1.8,0.02,0.44,no,2,1,0
LOC102033595,NW_005054312.1:850782-854859,9,12,3.4,-0.5,0.5,0.56,0.97,no,1,0,0
PLA2G15,NW_005054343.1:1671689-1687941,44,41,5.4,0.1,0.1,0.79,0.99,no,2,0,0
FRZB,NW_005054606.1:343609-363546,16,4,3.3,2.1,2.1,0.05,0.62,no,1,1,0
GPA33,NW_005054338.1:2583846-2592752,6,14,3.3,-1.2,1.2,0.20,0.84,no,1,1,0
MRPL24,NW_005054582.1:16375-18118,1544,2211,10.9,-0.5,0.5,0.05,0.62,no,2,0,0
LOC102041996,NW_005054548.1:648047-669596,23,21,4.5,0.1,0.1,0.89,1.00,no,2,0,0
DSCC1,NW_005054321.1:3783197-3797161,92,223,7.3,-1.3,1.3,0.02,0.48,no,2,1,0
LOC115949082,NW_005054744.1:79786-87655,90,117,6.7,-0.4,0.4,0.43,0.95,no,2,0,0
COL6A6,NW_005054361.1:3722687-3766254,24,9,4.0,1.4,1.4,0.10,0.72,no,1,1,0
GYPC,NW_005054298.1:12131524-12164843,5,6,2.5,-0.1,0.1,0.89,1.00,no,0,0,0
LOC102038583,NW_005054392.1:2539531-2550310,190,91,7.1,1.1,1.1,0.07,0.67,no,2,1,0
FKBP6,NW_005054381.1:3201312-3223525,42,7,4.6,2.7,2.7,0.00,0.21,no,1,1,0
ANGPTL4,NW_005054441.1:1270916-1301918,34,17,4.7,1.0,1.0,0.01,0.40,no,2,1,0
LOC102032244,NW_005054532.1:778737-780769,8,8,3.0,-0.1,0.1,0.85,1.00,no,0,0,0
LOC115948716,NW_005054485.1:1030476-1034590,5,2,1.8,1.2,1.2,0.17,0.81,no,0,1,0
LOC102036614,NW_005054573.1:634-9829,9,16,3.6,-0.9,0.9,0.36,0.93,no,1,0,0
CDKN3,NW_005054303.1:13699566-13732085,2,12,2.8,-2.3,2.3,0.04,0.57,no,1,1,0
PLPPR3,NW_005054491.1:593087-597772,20,34,4.8,-0.8,0.8,0.07,0.65,no,2,0,0
LOC115948513,NW_005054416.1:1228116-1230547,5,11,3.0,-1.0,1.0,0.13,0.77,no,1,1,0
PDE1A,NW_005054298.1:22342813-22499847,21,14,4.1,0.6,0.6,0.28,0.90,no,2,0,0
SELENBP1,NW_005054778.1:62178-67904,5,8,2.7,-0.6,0.6,0.27,0.89,no,0,0,0
LOC102038749,NW_005054387.1:1682926-1690155,64,23,5.4,1.5,1.5,0.03,0.49,no,2,1,0
LOC102038003,NW_005054378.1:433740-439109,17,2,3.2,3.2,3.2,0.00,0.11,no,1,1,0
FBXO5,NW_005054316.1:8571912-8575970,5,17,3.5,-1.9,1.9,0.00,0.08,no,1,1,0
SRPX,NW_005054374.1:1899993-1918997,21,4,3.6,2.3,2.3,0.03,0.48,no,1,1,0
GALR2,NW_005054370.1:2127973-2130555,115,75,6.6,0.6,0.6,0.21,0.85,no,2,0,0
LOC102042665,NW_005054730.1:69634-70652,1,2,0.6,-0.7,0.7,0.41,0.95,no,0,0,0
AFMID,NW_005054578.1:347836-349576,1,13,2.8,-3.2,3.2,0.00,0.03,yes,1,1,1
MYBPC3,NW_005054312.1:3225744-3286834,8,6,2.8,0.5,0.5,0.58,0.98,no,0,0,0
SOD1,NW_005054530.1:700390-704551,1354,2162,10.8,-0.7,0.7,0.13,0.78,no,2,0,0
LOC102031613,NW_005054343.1:3619996-3621978,1,2,0.6,-0.6,0.6,0.56,0.98,no,0,0,0
GEM,NW_005054344.1:4572928-4581784,40,57,5.6,-0.5,0.5,0.55,0.97,no,2,0,0
MCOLN2,NW_005054336.1:673509-688568,33,30,5.0,0.1,0.1,0.80,0.99,no,2,0,0
GLT1D1,NW_005054362.1:858482-888623,2,1,0.6,1.0,1.0,0.25,0.88,no,0,1,0
LOC102040923,NW_005054772.1:88125-88461,63,17,5.3,1.9,1.9,0.03,0.48,no,2,1,0
CERS6,NW_005054298.1:17405381-17487668,11,5,3.0,1.1,1.1,0.23,0.86,no,1,1,0
LOC115948719,NW_005054487.1:434335-439567,22,73,5.6,-1.8,1.8,0.00,0.00,yes,2,1,1
IDNK,NW_005054323.1:697137-703405,20,13,4.0,0.6,0.6,0.16,0.80,no,2,0,0
PTN,NW_005054557.1:584371-609327,159,252,7.7,-0.7,0.7,0.19,0.83,no,2,0,0
LOC115948891,NW_005054596.1:209000-210702,311,61,7.5,2.3,2.3,0.00,0.01,yes,2,1,1
DUSP15,NW_005054337.1:2548585-2559661,218,57,7.1,1.9,1.9,0.00,0.23,no,2,1,0
LOC115948647,NW_005054458.1:659307-666707,30,39,5.1,-0.4,0.4,0.36,0.93,no,2,0,0
CCDC15,NW_005054541.1:332766-346784,40,38,5.3,0.1,0.1,0.88,1.00,no,2,0,0
LOC106631992,NW_005054480.1:1290427-1292291,22,23,4.5,-0.1,0.1,0.93,1.00,no,2,0,0
SPATA5L1,NW_005054313.1:3330479-3338330,346,85,7.8,2.0,2.0,0.00,0.02,yes,2,1,1
SLC22A18,NW_005054437.1:888975-948495,17,12,3.9,0.4,0.4,0.60,0.98,no,2,0,0
LOC102034661,NW_005054302.1:10355593-10357141,2,2,1.0,-0.3,0.3,0.79,0.99,no,0,0,0
DDX58,NW_005054379.1:436364-457001,2677,423,10.6,2.7,2.7,0.00,0.00,yes,2,1,1
LOC115948717,NW_005054487.1:428337-430256,51,55,5.7,-0.1,0.1,0.71,0.98,no,2,0,0
LOC102039809,NW_005054322.1:2731977-2738382,4,5,2.2,-0.5,0.5,0.48,0.96,no,0,0,0
ARHGEF38,NW_005054304.1:14720945-14757423,18,10,3.8,0.9,0.9,0.18,0.82,no,2,0,0
LOC102040639,NW_005054594.1:11265-24765,300,531,8.7,-0.8,0.8,0.34,0.92,no,2,0,0
MKS1,NW_005054381.1:124671-138381,19,21,4.3,-0.2,0.2,0.72,0.98,no,2,0,0
HPCAL4,NW_005054436.1:1329598-1331937,4,5,2.2,-0.6,0.6,0.42,0.95,no,0,0,0
RSAD2,NW_005054318.1:8233265-8239893,16104,5231,13.4,1.6,1.6,0.01,0.35,no,2,1,0
DTX3L,NW_005054298.1:7561545-7569389,15680,5472,13.4,1.5,1.5,0.01,0.32,no,2,1,0
BCL2L14,NW_005054472.1:1369335-1376906,28,11,4.3,1.3,1.3,0.05,0.59,no,2,1,0
LPIN1,NW_005054318.1:5630898-5666228,28,18,4.5,0.6,0.6,0.33,0.91,no,2,0,0
PCSK1,NW_005054468.1:15003-44190,5,3,2.0,0.8,0.8,0.30,0.90,no,0,0,0
FDFT1,NW_005054377.1:2316431-2328910,246,322,8.1,-0.4,0.4,0.32,0.91,no,2,0,0
IL4I1,NW_005054770.1:28414-37076,226,43,7.1,2.4,2.4,0.00,0.09,no,2,1,0
KIZ,NW_005054341.1:5029296-5058163,16,16,4.0,0.0,0.0,1.00,1.00,no,2,0,0
DHCR7,NW_005054402.1:1610452-1617641,14,15,3.9,-0.1,0.1,0.87,1.00,no,2,0,0
MLPH,NW_005054507.1:137867-165287,34,14,4.6,1.3,1.3,0.18,0.81,no,2,1,0
TMEM132D,NW_005054362.1:658945-844716,4,3,1.8,0.5,0.5,0.51,0.96,no,0,0,0
NMI,NW_005054298.1:14548-24390,2566,679,10.7,1.9,1.9,0.00,0.00,yes,2,1,1
GPR68,NW_005054303.1:353395-369243,9,10,3.2,-0.1,0.1,0.84,0.99,no,1,0,0
LOC102032705,NW_005054311.1:7962138-7966660,267228,51241,17.3,2.4,2.4,0.00,0.11,no,2,1,0
LOC102036983,NW_005054329.1:6013679-6019205,122,75,6.6,0.7,0.7,0.33,0.91,no,2,0,0
LOC102039268,NW_005054446.1:1360220-1365814,52,53,5.7,0.0,0.0,0.96,1.00,no,2,0,0
LOC106631792,NW_005054315.1:3581604-3588180,8,36,4.5,-2.3,2.3,0.01,0.34,no,1,1,0
