Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg fIFOR,avg fUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
7808,0,LOC106632114,mRNA,NW_005054808.1:9384-58100,+,-,20,13,4.044394119,0.592,0.592,0.688898596,1,no,2,0,0
15693,0,XIRP1,mRNA,NW_005054367.1:1564814-1587841,-,-,9,9,3.169925001,0.003,0.003,0.998608639,1,no,0,0,0
6305,46.2,LOC102036849,mRNA,NW_005064235.1:7-645,+,-,1,1,0,0.258,0.258,0.869559364,1,no,0,0,0
10051,64.5,MORN3,mRNA,NW_005054362.1:2866164-2881812,-,-,2,0,0,2.767,2.767,0.159307358,0.938644041,no,0,1,0
9586,-1.319,LYZ,mRNA,NW_005054425.1:1701324-1703064,-,-,12,2,2.807354922,2.24,2.24,0.134959559,0.910865105,no,1,1,0
6188,76.7,LOC102036126,mRNA,NW_005054312.1:800538-827454,-,-,1,1,0,0.487,0.487,0.731980935,1,no,0,0,0
7152,100.5,LOC102042286,mRNA,NW_005054319.1:704744-747284,+,-,577,6,8.187352073,6.563,6.563,1.72083E-06,0.0032273,yes,1,1,1
5329,-105.1,LAMB4,mRNA,NW_005054354.1:1507434-1550177,+,-,2,0,0,3.701,3.701,0.042329638,0.698034529,no,0,1,0
7134,0,LOC102042155,mRNA,NW_005054480.1:1279150-1280613,-,-,1,59,4.906890596,-5.873,5.873,0.000583003,0.226910698,no,1,1,0
6825,121.4,LOC102040076,mRNA,NW_005054771.1:182-87429,-,+,148,147,7.204571144,0.007,0.007,0.993019606,1,no,2,0,0
2523,1.7,DCDC2,mRNA,NW_005054325.1:2223525-2275425,+,-,1,0,-1,2.154,2.154,0.292493412,1,no,0,1,0
5720,0,LOC102032980,mRNA,NW_005054849.1:3664-12020,+,-,13,9,3.459431619,0.562,0.562,0.777215129,1,no,1,0,0
8568,-83.8,LOC115948522,mRNA,NW_005054300.1:9002895-9007237,-,-,24002,12185,14.14318389,0.978,0.978,0.280365893,0.996428437,no,2,0,0
6568,0,LOC102038536,mRNA,NW_005054686.1:167679-204423,+,-,17,16,4.044394119,0.035,0.035,0.978959017,1,no,2,0,0
14790,22.5,TRABD2A,mRNA,NW_005054485.1:737364-837842,-,-,4,0,1,4.421,4.421,0.002659526,0.344762277,no,0,1,0
12072,-107.6,PVALB,mRNA,NW_005054334.1:2644634-2654474,-,-,3,2,1.321928095,0.673,0.673,0.529978704,1,no,0,0,0
13132,320.7,SH3TC1,mRNA,NW_005054372.1:2571088-2599558,-,-,4,12,3,-1.58,1.58,0.373978255,1,no,1,1,0
6449,-1.781,LOC102037801,mRNA,NW_005056294.1:284-1950,+,-,23,13,4.169925001,0.79,0.79,0.537629909,1,no,2,0,0
2273,108.4,CTHRC1,mRNA,NW_005054353.1:2493625-2497044,+,-,0,2,0,-3.06,3.06,0.203806129,0.963526174,no,0,1,0
6130,0,LOC102035828,mRNA,NW_005063003.1:256-954,-,-,31,33,5,-0.055,0.055,0.980174652,1,no,2,0,0
14033,104,SUSD2,mRNA,NW_005054330.1:1159679-1176267,-,-,1,0,-1,1.797,1.797,0.424733256,1,no,0,1,0
11262,-73,PDZD7,mRNA,NW_005054300.1:5136710-5144187,-,-,51,17,5.087462841,1.595,1.595,0.012728662,0.544305763,no,2,1,0
6627,-107.4,LOC102038924,mRNA,NW_005054436.1:1390726-1402305,-,-,114,74,6.554588852,0.631,0.631,0.617957725,1,no,2,0,0
3422,70.8,FAM169A,mRNA,NW_005054476.1:376954-398364,+,-,80,236,7.303780748,-1.564,1.564,0.315642127,1,no,2,1,0
13724,-8.2,SPATA13,mRNA,NW_005054302.1:2001310-2170880,+,-,52,1,4.727920455,5.802,5.802,3.75791E-05,0.041111575,yes,1,1,1
5995,-62,LOC102034805,mRNA,NW_005054460.1:17924-28559,-,-,3960,2698,11.70087316,0.554,0.554,0.344859597,1,no,2,0,0
6061,26.2,LOC102035260,mRNA,NW_005055086.1:917-8663,+,-,1,2,0.584962501,-0.932,0.932,0.503818321,1,no,0,0,0
5386,-0.798,LDHD,mRNA,NW_005054343.1:2749661-2752855,+,-,30,16,4.523561956,0.887,0.887,0.315671128,1,no,2,0,0
140,-80,ACSL3,mRNA,NW_005054371.1:351943-387608,+,-,242,87,7.361943774,1.474,1.474,0.136975649,0.910865105,no,2,1,0
9711,0,MARCHF3,mRNA,NW_005054670.1:167527-223128,+,-,26,14,4.321928095,0.928,0.928,0.274527074,0.995552748,no,2,0,0
14499,-77.8,TMEM120B,mRNA,NW_005054362.1:2883606-2892682,+,-,26,7,4.044394119,1.827,1.827,0.211063384,0.969169656,no,1,1,0
937,97.9,B3GALT5,mRNA,NW_005054656.1:285172-288637,-,-,4,13,3.087462841,-1.821,1.821,0.198109521,0.959614487,no,1,1,0
4272,-2.956,GRK5,mRNA,NW_005054451.1:537196-708976,-,-,3,29,4,-3.199,3.199,0.010324828,0.524446968,no,1,1,0
4620,-1.135,HSF2BP,mRNA,NW_005054438.1:495050-526933,+,-,0,0,-3.321928095,0,0,0.792005849,1,no,0,0,0
3752,-11.6,FRMD3,mRNA,NW_005054323.1:773432-855713,+,-,1,0,-1,1.205,1.205,0.451035578,1,no,0,1,0
6314,-1.254,LOC102036895,mRNA,NW_005054410.1:2491199-2502757,+,-,12,3,2.906890596,2.209,2.209,0.235321013,0.976709745,no,1,1,0
5611,83.8,LOC102032275,mRNA,NW_005054343.1:3747708-3757277,+,-,8,4,2.584962501,1.058,1.058,0.480698411,1,no,0,1,0
3227,-106.3,EPSTI1,mRNA,NW_005054322.1:2077566-2127800,-,-,332,781,9.120237877,-1.232,1.232,0.241439671,0.983616016,no,2,1,0
4596,0,HRH1,mRNA,NW_005054650.1:286118-289189,-,-,4,6,2.321928095,-0.697,0.697,0.644328799,1,no,0,0,0
6250,27.7,LOC102036509,mRNA,NW_005054721.1:54617-110504,-,+,169,140,7.271463028,0.273,0.273,0.563319633,1,no,2,0,0
3682,128.4,FLT1,mRNA,NW_005054302.1:581831-675121,+,-,42,35,5.266786541,0.259,0.259,0.617992773,1,no,2,0,0
5824,-62,LOC102033658,mRNA,NW_005054309.1:473162-475599,-,-,6,153,6.312882955,-4.604,4.604,0.032629808,0.662702337,no,1,1,0
8373,40.4,LOC115948281,mRNA,NW_005054370.1:821289-831924,+,-,70,34,5.700439718,1.022,1.022,0.412397249,1,no,2,1,0
5022,13.7,KATNAL2,mRNA,NW_005054365.1:2329131-2351240,+,-,1,0,-1,1.15,1.15,0.485163882,1,no,0,1,0
2403,-1.591,CUNH3orf52,mRNA,NW_005054320.1:1005814-1016055,+,-,7,5,2.584962501,0.276,0.276,0.856309257,1,no,0,0,0
2535,15.9,DCP1B,mRNA,NW_005054326.1:51980-90819,+,-,81,94,6.451211112,-0.213,0.213,0.706914653,1,no,2,0,0
13242,310.2,SLC16A4,mRNA,NW_005054425.1:2094286-2117956,-,-,2,0,0,3.041,3.041,0.142390559,0.916092916,no,0,1,0
2917,23.4,DUSP14,mRNA,NW_005054368.1:1226721-1230431,-,-,16,13,3.857980995,0.315,0.315,0.846776267,1,no,2,0,0
7882,30.6,LOC106632244,mRNA,NW_005054308.1:11117084-11121718,+,-,468,861,9.376125389,-0.882,0.882,0.350956216,1,no,2,0,0
7043,-28.9,LOC102041422,mRNA,NW_005054776.1:1685-90279,+,+,95,98,6.592457037,-0.061,0.061,0.892970893,1,no,2,0,0
12785,16.3,RUSC2,mRNA,NW_005054471.1:11580-68574,-,-,1,0,-1,2.128,2.128,0.212340603,0.969530797,no,0,1,0
6883,0.02696,LOC102040415,mRNA,NW_005054772.1:61977-63228,-,-,10,8,3.169925001,0.388,0.388,0.699055353,1,no,1,0,0
7114,136.7,LOC102042000,mRNA,NW_005054621.1:374304-380647,-,-,5,5,2.321928095,-0.136,0.136,0.897383045,1,no,0,0,0
9585,-0.27,LYVE1,mRNA,NW_005054416.1:784105-792465,-,-,15,20,4.129283017,-0.46,0.46,0.571744145,1,no,2,0,0
14164,-10.1,TASOR,mRNA,NW_005054339.1:4765016-4793315,-,-,2823,2935,11.49135207,-0.056,0.056,0.958521709,1,no,2,0,0
7246,-68.2,LOC102042979,mRNA,NW_005054380.1:1757134-1761388,+,-,2,3,1.321928095,-0.824,0.824,0.608841535,1,no,0,0,0
1717,0.01823,CERS1,mRNA,NW_005054662.1:257479-263820,-,-,4,2,1.584962501,1.073,1.073,0.51642302,1,no,0,1,0
6337,3.7,LOC102037024,mRNA,NW_005054299.1:617324-626316,-,-,126,181,7.262094845,-0.529,0.529,0.584840962,1,no,2,0,0
15388,-73,USP18,mRNA,NW_005054384.1:865266-877230,+,-,290,287,8.172427509,0.016,0.016,0.986235469,1,no,2,0,0
5696,-93.8,LOC102032844,mRNA,NW_005054384.1:881243-891191,+,-,8,25,4.044394119,-1.516,1.516,0.159341559,0.938644041,no,1,1,0
2898,-131,DTNA,mRNA,NW_005054305.1:6859868-7029080,+,-,142,7,6.21916852,4.406,4.406,0.002672051,0.344762277,no,1,1,0
12839,-258.6,SARDH,mRNA,NW_005054329.1:3535451-3561305,+,-,27,17,4.459431619,0.65,0.65,0.711170743,1,no,2,0,0
5025,-96.5,KAZALD1,mRNA,NW_005054300.1:5157654-5162705,+,-,6,13,3.247927513,-1.198,1.198,0.147637153,0.923639128,no,1,1,0
9274,-30.4,LOC115949410,mRNA,NW_005058530.1:156-1642,+,-,678,345,8.99859043,0.975,0.975,0.32849139,1,no,2,0,0
1446,-8.6,CCDC66,mRNA,NW_005054339.1:4742550-4764026,+,-,100,195,7.204571144,-0.974,0.974,0.293907974,1,no,2,0,0
10754,-61,NR4A3,mRNA,NW_005054311.1:7593942-7620263,-,-,121,46,6.383704292,1.406,1.406,0.12205854,0.88480647,no,2,1,0
2052,-72,COL28A1,mRNA,NW_005054307.1:4898846-4956641,+,-,4,24,3.807354922,-2.571,2.571,0.006058353,0.44934493,no,1,1,0
2149,87.4,CPO,mRNA,NW_005054298.1:24140402-24154177,+,-,6,39,4.491853096,-2.833,2.833,0.027784359,0.633433517,no,1,1,0
13629,24.9,SNTA1,mRNA,NW_005054561.1:117938-140779,-,-,12,21,4.044394119,-0.747,0.747,0.41272472,1,no,2,0,0
2504,-57.4,DBNDD2,mRNA,NW_005054337.1:4390293-4397520,+,-,36,17,4.727920455,1.102,1.102,0.126466923,0.891582716,no,2,1,0
9336,133.7,LOC115949477,lnc_RNA,NW_005054302.1:11908711-11912902,-,-,16,11,3.754887502,0.605,0.605,0.667111512,1,no,2,0,0
2140,-10,CPN2,mRNA,NW_005054309.1:215692-225342,+,-,108,84,6.584962501,0.377,0.377,0.552375475,1,no,2,0,0
9119,-136.9,LOC115949242,mRNA,NW_005055209.1:2637-6819,-,-,154,193,7.438791853,-0.334,0.334,0.720883633,1,no,2,0,0
2464,121.6,CYSRT1,mRNA,NW_005054358.1:800083-800833,+,-,4,4,2,-0.036,0.036,0.976778285,1,no,0,0,0
991,10.8,BBOX1,mRNA,NW_005054429.1:2029303-2046264,+,-,2,2,1,-0.084,0.084,0.932352291,1,no,0,0,0
5223,-37.8,KLF11,mRNA,NW_005054318.1:6702695-6715007,-,-,147,222,7.527477006,-0.595,0.595,0.318590725,1,no,2,0,0
5871,10.4,LOC102034033,mRNA,NW_005054515.1:98304-220456,+,-,13,61,5.209453366,-2.256,2.256,0.057940176,0.76806619,no,2,1,0
6044,25.7,LOC102035141,mRNA,NW_005054444.1:895211-924794,-,-,11,23,4.087462841,-1.054,1.054,0.272988193,0.994861629,no,2,1,0
13868,-40,SSX2IP,mRNA,NW_005054336.1:605097-618664,-,-,9,5,2.807354922,0.636,0.636,0.330168053,1,no,0,0,0
14066,-22.5,SYNDIG1L,mRNA,NW_005054301.1:6432441-6437603,+,-,11,171,6.50779464,-3.914,3.914,0.002092697,0.333582179,no,2,1,0
2383,-153.5,CUNH20orf194,mRNA,NW_005054548.1:521322-589016,-,-,37,53,5.491853096,-0.493,0.493,0.585801599,1,no,2,0,0
14370,-53.7,THBS4,mRNA,NW_005054440.1:55160-94769,-,-,28,157,6.531381461,-2.46,2.46,0.017217951,0.591720594,no,2,1,0
1786,-9.6,CHDH,mRNA,NW_005054339.1:3631940-3645180,-,-,8,10,3.169925001,-0.239,0.239,0.860838465,1,no,1,0,0
3397,-175.8,FAM131B,mRNA,NW_005054589.1:417131-431456,-,-,14,5,3.247927513,1.522,1.522,0.192160239,0.957336805,no,1,1,0
491,-98,ANKRD31,mRNA,NW_005054476.1:218401-282072,+,-,20,5,3.64385619,1.957,1.957,0.010096529,0.524446968,no,1,1,0
330,-55.3,AIFM3,mRNA,NW_005054448.1:1469539-1514339,-,-,10,12,3.459431619,-0.258,0.258,0.846538626,1,no,2,0,0
1954,-12.4,CMBL,mRNA,NW_005054340.1:61978-69619,-,-,719,535,9.292321633,0.428,0.428,0.51037578,1,no,2,0,0
2985,33.7,EDA,mRNA,NW_005054456.1:44908-79578,-,-,416,279,8.440869168,0.579,0.579,0.520718488,1,no,2,0,0
6467,-9.3,LOC102037914,mRNA,NW_005054559.1:83284-86096,-,-,1468,92,9.607330314,4,4,0.004895173,0.403231254,no,2,1,0
6620,24.9,LOC102038864,mRNA,NW_005054600.1:305293-308049,-,-,1160,952,10.04439412,0.285,0.285,0.721572478,1,no,2,0,0
12845,-52,SASH1,mRNA,NW_005054316.1:549550-671799,-,-,35,23,4.857980995,0.619,0.619,0.582831629,1,no,2,0,0
10315,-63.3,MYO10,mRNA,NW_005054340.1:2895552-3022544,-,-,179,59,6.894817763,1.611,1.611,0.31267889,1,no,2,1,0
15495,-70.7,VPS13C,mRNA,NW_005054398.1:1089666-1158693,-,-,3185,2569,11.49034951,0.31,0.31,0.688345283,1,no,2,0,0
15985,-1.793,ZPLD1,mRNA,NW_005054391.1:995752-1026194,+,-,17,28,4.491853096,-0.686,0.686,0.381932685,1,no,2,0,0
5933,-148.2,LOC102034377,mRNA,NW_005054297.1:24421603-24433139,-,-,11494,9462,13.35507575,0.281,0.281,0.668891612,1,no,2,0,0
98,103.7,ACAN,mRNA,NW_005054313.1:790129-839824,+,-,16,18,4.087462841,-0.196,0.196,0.876560472,1,no,2,0,0
4788,-1.8,IL22RA2,mRNA,NW_005054316.1:3228699-3234585,-,-,30,51,5.339850003,-0.807,0.807,0.220625367,0.97227033,no,2,0,0
7667,-0.178,LOC102045521,mRNA,NW_005054388.1:701152-702087,-,-,8,5,2.700439718,0.559,0.559,0.681113076,1,no,0,0,0
4019,-93,GJD4,mRNA,NW_005054511.1:221661-228416,+,-,3,1,1,2.41,2.41,0.090685599,0.843144861,no,0,1,0
13995,-36.9,STXBP5L,mRNA,NW_005054320.1:6206004-6390179,+,-,8,62,5.129283017,-2.902,2.902,0.001517924,0.307373907,no,1,1,0
12281,-41.1,RBBP8NL,mRNA,NW_005054337.1:131631-145164,-,-,29,19,4.584962501,0.624,0.624,0.551400658,1,no,2,0,0
1027,22.1,BCO2,mRNA,NW_005054447.1:136807-151940,+,-,6,4,2.321928095,0.564,0.564,0.460050646,1,no,0,0,0
13904,-5.3,STAR,mRNA,NW_005054597.1:392379-395117,-,-,422,148,8.154818109,1.507,1.507,0.079722421,0.822149204,no,2,1,0
6290,-16.7,LOC102036741,mRNA,NW_005054300.1:11785967-11791555,+,-,2,1,0.584962501,1.244,1.244,0.335874371,1,no,0,1,0
14040,69.6,SV2A,mRNA,NW_005054618.1:49526-57409,-,-,13,14,3.754887502,-0.144,0.144,0.826688694,1,no,2,0,0
5918,78.2,LOC102034299,mRNA,NW_005054427.1:1418648-1430399,-,-,0,0,-3.321928095,0,0,0.640930048,1,no,0,0,0
3224,-102.7,EPS8,mRNA,NW_005054384.1:1605835-1733374,-,-,11,1,2.584962501,3.667,3.667,0.012883246,0.545436262,no,1,1,0
10436,-80,NCKAP5,mRNA,NW_005054298.1:5335147-5713343,+,-,1,3,1,-1.399,1.399,0.363559795,1,no,0,1,0
6380,58.2,LOC102037327,mRNA,NW_005054372.1:1528618-1529418,-,-,404,33,7.77148947,3.596,3.596,0.001869473,0.327232626,no,2,1,0
8946,-37.1,LOC115949016,mRNA,NW_005054680.1:141173-142372,+,-,31,379,7.6794801,-3.592,3.592,0.004156247,0.384247942,no,2,1,0
5575,-16.1,LOC102031948,mRNA,NW_005054343.1:3735622-3740662,-,-,294,376,8.388017285,-0.352,0.352,0.596632434,1,no,2,0,0
8614,-93,LOC115948573,lnc_RNA,NW_005054435.1:426163-433834,+,-,1,4,1.321928095,-1.716,1.716,0.155094686,0.938419821,no,0,1,0
5263,29.2,KLHL32,mRNA,NW_005054305.1:12941669-13036264,+,-,51,12,4.977279923,2.113,2.113,0.014753324,0.562768156,no,2,1,0
7194,-53.2,LOC102042641,mRNA,NW_005054376.1:3054405-3059851,+,-,374,87,7.84862294,2.109,2.109,0.000941084,0.268428274,no,2,1,0
11717,21.2,PPFIA4,mRNA,NW_005054425.1:372142-407557,-,-,54,272,7.348728154,-2.339,2.339,0.002273729,0.340511762,no,2,1,0
14232,-41,TCERG1L,mRNA,NW_005054506.1:706741-869493,+,-,8,85,5.539158811,-3.377,3.377,0.000284353,0.13825874,no,1,1,0
10620,-26.7,NKAIN1,mRNA,NW_005054428.1:1237327-1249681,-,-,90,32,5.930737338,1.509,1.509,0.144392015,0.918092984,no,2,1,0
7322,116.5,LOC102043424,mRNA,NW_005054421.1:719900-732904,-,-,26,22,4.584962501,0.244,0.244,0.79323145,1,no,2,0,0
3844,15.9,GABRR3,mRNA,NW_005054338.1:2155112-2180655,-,-,2,1,0.584962501,1.194,1.194,0.237889742,0.978695247,no,0,1,0
15660,108.9,WNT4,mRNA,NW_005054473.1:1239811-1253079,+,-,3,1,1,1.228,1.228,0.2546996,0.986461213,no,0,1,0
4702,-62.3,IFITM5,mRNA,NW_005054416.1:1970354-1973894,-,-,18,2,3.321928095,3.471,3.471,0.001153988,0.280547284,no,1,1,0
4561,7.5,HOXA3,mRNA,NW_005054333.1:3447890-3462733,+,-,2,2,1,0.162,0.162,0.890846488,1,no,0,0,0
5819,-12.6,LOC102033630,mRNA,NW_005054465.1:226483-238129,-,-,141,196,7.396604781,-0.477,0.477,0.531516002,1,no,2,0,0
7893,-38.7,LOC115947657,mRNA,NW_005054308.1:11112279-11116632,+,-,752,586,9.385862401,0.361,0.361,0.594815596,1,no,2,0,0
7216,119,LOC102042767,mRNA,NW_005054897.1:16854-42373,+,-,44,23,5.06608919,0.952,0.952,0.374048153,1,no,2,0,0
5815,69.2,LOC102033595,mRNA,NW_005054312.1:850782-854859,-,-,5,2,1.807354922,1.386,1.386,0.29396825,1,no,0,1,0
11491,-28.7,PLA2G15,mRNA,NW_005054343.1:1671689-1687941,+,-,65,49,5.832890014,0.414,0.414,0.380880332,1,no,2,0,0
3767,-66.4,FRZB,mRNA,NW_005054606.1:343609-363546,-,-,17,11,3.807354922,0.621,0.621,0.663979225,1,no,2,0,0
4129,-0.514,GPA33,mRNA,NW_005054338.1:2583846-2592752,+,-,10,38,4.584962501,-1.989,1.989,0.125668414,0.889966611,no,2,1,0
10113,15.4,MRPL24,mRNA,NW_005054582.1:16375-18118,-,-,1651,2716,11.09242682,-0.718,0.718,0.051573686,0.734302335,no,2,0,0
7113,-130.8,LOC102041996,mRNA,NW_005054548.1:648047-669596,+,-,5,53,4.857980995,-3.376,3.376,0.002881798,0.344762277,no,1,1,0
