Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg UCRA,avg UFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
11262,500.2,PDZD7,mRNA,NW_005054300.1:5136710-5144187,-,-,1322,41,9.412569847,5.002,5.002,1.56531E-24,1.36886E-21,yes,2,1,1
8373,492.2,LOC115948281,mRNA,NW_005054370.1:821289-831924,+,-,4,26,3.906890596,-2.65,2.65,0.000264367,0.002839159,yes,1,1,1
14164,455.9,TASOR,mRNA,NW_005054339.1:4765016-4793315,-,-,178,4191,11.09308739,-4.559,4.559,1.60133E-14,3.38019E-12,yes,2,1,1
2917,451.8,DUSP14,mRNA,NW_005054368.1:1226721-1230431,-,-,9,204,6.73470962,-4.518,4.518,1.74736E-06,5.1302E-05,yes,1,1,1
5025,450.9,KAZALD1,mRNA,NW_005054300.1:5157654-5162705,+,-,205,13,6.768184325,3.95,3.95,1.72468E-15,4.59028E-13,yes,2,1,1
532,449.1,ANXA10,mRNA,NW_005054297.1:24435388-24457129,-,-,54,368,7.721099189,-2.788,2.788,0.011279472,0.047373781,yes,2,1,1
7152,446.6,LOC102042286,mRNA,NW_005054319.1:704744-747284,+,-,11,16,3.754887502,-0.556,0.556,0.480151078,0.647981663,no,2,0,0
2535,445.5,DCP1B,mRNA,NW_005054326.1:51980-90819,+,-,14,299,7.290018847,-4.455,4.455,9.25447E-26,1.02583E-22,yes,2,1,1
13676,443.3,SOD3,mRNA,NW_005054297.1:4890411-4891908,+,-,1,11,2.584962501,-3.626,3.626,0.017666026,0.065445915,no,1,1,0
10754,441.6,NR4A3,mRNA,NW_005054311.1:7593942-7620263,-,-,2077,98,10.08679969,4.416,4.416,1.17183E-14,2.56192E-12,yes,2,1,1
6044,440.7,LOC102035141,mRNA,NW_005054444.1:895211-924794,-,-,194,36,6.845490051,2.435,2.435,1.83333E-07,7.26391E-06,yes,2,1,1
3227,438.9,EPSTI1,mRNA,NW_005054322.1:2077566-2127800,-,-,112,339,7.816983623,-1.595,1.595,0.020072623,0.071968847,no,2,1,0
9274,437.2,LOC115949410,mRNA,NW_005058530.1:156-1642,+,-,45,380,7.731319031,-3.089,3.089,9.43879E-09,5.60966E-07,yes,2,1,1
1446,418.9,CCDC66,mRNA,NW_005054339.1:4742550-4764026,+,-,14,261,7.103287808,-4.189,4.189,1.17115E-16,3.67652E-14,yes,2,1,1
13868,413.8,SSX2IP,mRNA,NW_005054336.1:605097-618664,-,-,121,7,6,4.138,4.138,2.33509E-33,7.14714E-30,yes,1,1,1
1954,403.1,CMBL,mRNA,NW_005054340.1:61978-69619,-,-,9758,597,12.33803993,4.031,4.031,1.45027E-27,1.97285E-24,yes,2,1,1
2985,384.2,EDA,mRNA,NW_005054456.1:44908-79578,-,-,22,301,7.335390355,-3.788,3.788,3.23111E-15,8.06804E-13,yes,2,1,1
9119,380.7,LOC115949242,mRNA,NW_005055209.1:2637-6819,-,-,38,264,7.238404739,-2.809,2.809,1.09713E-07,4.67163E-06,yes,2,1,1
15495,375,VPS13C,mRNA,NW_005054398.1:1089666-1158693,-,-,243,1971,10.11243951,-3.022,3.022,3.19411E-13,4.95007E-11,yes,2,1,1
15388,374.5,USP18,mRNA,NW_005054384.1:865266-877230,+,-,63,172,6.876516947,-1.446,1.446,0.010669104,0.045370557,yes,2,1,1
2898,373.6,DTNA,mRNA,NW_005054305.1:6859868-7029080,+,-,29,9,4.247927513,1.628,1.628,0.052928332,0.143553737,no,1,1,0
4788,371.1,IL22RA2,mRNA,NW_005054316.1:3228699-3234585,-,-,440,66,7.982993575,2.751,2.751,8.24623E-13,1.20189E-10,yes,2,1,1
2504,369,DBNDD2,mRNA,NW_005054337.1:4390293-4397520,+,-,139,11,6.22881869,3.69,3.69,1.08442E-17,3.79329E-15,yes,2,1,1
1027,359.2,BCO2,mRNA,NW_005054447.1:136807-151940,+,-,67,8,5.22881869,2.974,2.974,2.98613E-15,7.6165E-13,yes,1,1,1
5223,357,KLF11,mRNA,NW_005054318.1:6702695-6715007,-,-,2297,242,10.31004468,3.251,3.251,1.35465E-19,6.91042E-17,yes,2,1,1
11717,354.6,PPFIA4,mRNA,NW_005054425.1:372142-407557,-,-,9,107,5.857980995,-3.546,3.546,2.45664E-10,2.19537E-08,yes,1,1,1
12970,354.3,SELENBP1,mRNA,NW_005054778.1:62178-67904,+,-,43,7,4.64385619,2.667,2.667,1.64483E-11,1.83069E-09,yes,1,1,1
8946,353.1,LOC115949016,mRNA,NW_005054680.1:141173-142372,+,-,13,153,6.375039431,-3.531,3.531,2.16603E-05,0.000393452,yes,2,1,1
5815,349.9,LOC102033595,mRNA,NW_005054312.1:850782-854859,-,-,54,9,4.977279923,2.547,2.547,0.000143361,0.001758116,yes,1,1,1
2885,349.1,DSCC1,mRNA,NW_005054321.1:3783197-3797161,-,-,23,257,7.129283017,-3.491,3.491,1.93105E-14,3.9403E-12,yes,2,1,1
6380,347.7,LOC102037327,mRNA,NW_005054372.1:1528618-1529418,-,-,54,40,5.554588852,0.432,0.432,0.50224236,0.665615199,no,2,0,0
10620,346.9,NKAIN1,mRNA,NW_005054428.1:1237327-1249681,-,-,311,28,7.405141463,3.469,3.469,1.7702E-09,1.19738E-07,yes,2,1,1
14066,339,SYNDIG1L,mRNA,NW_005054301.1:6432441-6437603,+,-,339,66,7.661778098,2.345,2.345,0.002401333,0.015151371,yes,2,1,1
11657,327.9,POLQ,mRNA,NW_005054320.1:6394572-6443540,-,-,16,152,6.392317423,-3.279,3.279,2.08967E-08,1.14726E-06,yes,2,1,1
11491,326.6,PLA2G15,mRNA,NW_005054343.1:1671689-1687941,+,-,430,44,7.888743249,3.266,3.266,4.74302E-31,9.67812E-28,yes,2,1,1
8726,322,LOC115948717,lnc_RNA,NW_005054487.1:428337-430256,+,-,399,54,7.82336724,2.885,2.885,4.56296E-29,7.98061E-26,yes,2,1,1
7738,318,LOC106631921,lnc_RNA,NW_005054392.1:603830-626449,-,-,149,17,6.375039431,3.18,3.18,1.34211E-05,0.000265023,yes,2,1,1
5608,316.1,LOC102032244,mRNA,NW_005054532.1:778737-780769,-,-,46,7,4.727920455,2.739,2.739,2.06551E-06,5.85373E-05,yes,1,1,1
6620,314.7,LOC102038864,mRNA,NW_005054600.1:305293-308049,-,-,106,607,8.477758266,-2.52,2.52,1.51389E-07,6.19885E-06,yes,2,1,1
6969,314.3,LOC102040923,pseudogene,NW_005054772.1:88125-88461,+,-,2,22,3.584962501,-3.143,3.143,8.68743E-06,0.000186597,yes,1,1,1
2140,310.9,CPN2,mRNA,NW_005054309.1:215692-225342,+,-,672,87,8.567956075,2.955,2.955,5.94402E-14,1.07019E-11,yes,2,1,1
8672,309.9,LOC115948647,mRNA,NW_005054458.1:659307-666707,+,-,280,39,7.317412614,2.835,2.835,1.59411E-20,9.75832E-18,yes,2,1,1
10113,309,MRPL24,mRNA,NW_005054582.1:16375-18118,-,-,14229,2442,13.02505303,2.543,2.543,3.82276E-28,5.85026E-25,yes,2,1,1
6603,308.4,LOC102038749,mRNA,NW_005054387.1:1682926-1690155,-,-,3,24,3.754887502,-3.084,3.084,6.33481E-07,2.15436E-05,yes,1,1,1
11580,306.8,PLPPR3,mRNA,NW_005054491.1:593087-597772,-,-,172,39,6.721099189,2.131,2.131,1.87323E-11,2.04768E-09,yes,2,1,1
3954,306.3,GEM,mRNA,NW_005054344.1:4572928-4581784,-,-,8,69,5.266786541,-3.063,3.063,1.2091E-05,0.000243071,yes,1,1,1
6682,302.7,LOC102039268,mRNA,NW_005054446.1:1360220-1365814,+,-,7,50,4.832890014,-2.834,2.834,1.49463E-13,2.5415E-11,yes,1,1,1
5933,301.4,LOC102034377,mRNA,NW_005054297.1:24421603-24433139,-,-,2272,13090,12.90707843,-2.527,2.527,1.95391E-07,7.69187E-06,yes,2,1,1
8996,300.9,LOC115949082,mRNA,NW_005054744.1:79786-87655,+,+,75,461,8.06608919,-2.627,2.627,0.007664507,0.035476958,yes,2,1,1
9489,300.7,LRRC3C,mRNA,NW_005054625.1:281896-284488,-,-,1100,137,9.272629785,3.007,3.007,3.20927E-09,2.11243E-07,yes,2,1,1
7322,298.6,LOC102043424,mRNA,NW_005054421.1:719900-732904,-,-,144,32,6.459431619,2.16,2.16,9.69479E-05,0.00130543,yes,2,1,1
13629,296.9,SNTA1,mRNA,NW_005054561.1:117938-140779,-,-,56,8,5,2.758,2.758,4.42999E-06,0.000106555,yes,1,1,1
11744,296.2,PPM1K,mRNA,NW_005054304.1:1369580-1381321,-,-,9,68,5.266786541,-2.962,2.962,5.73523E-07,1.97793E-05,yes,1,1,1
2064,294.5,COL6A6,mRNA,NW_005054361.1:3722687-3766254,-,-,91,12,5.686500527,2.945,2.945,1.27188E-05,0.000252509,yes,2,1,1
672,293.2,ARHGEF38,mRNA,NW_005054304.1:14720945-14757423,-,-,75,10,5.409390936,2.932,2.932,1.36435E-08,7.73321E-07,yes,2,1,1
1489,289.9,CCNG1,mRNA,NW_005054308.1:501834-506829,-,-,4070,546,11.17242751,2.899,2.899,3.63526E-15,8.72676E-13,yes,2,1,1
2918,289.9,DUSP15,mRNA,NW_005054337.1:2548585-2559661,-,-,17,128,6.17990909,-2.899,2.899,5.85342E-07,2.00738E-05,yes,2,1,1
8670,289.2,LOC115948645,lnc_RNA,NW_005054458.1:666837-672261,+,-,649,88,8.525520809,2.892,2.892,1.00547E-25,1.02583E-22,yes,2,1,1
7893,288.2,LOC115947657,mRNA,NW_005054308.1:11112279-11116632,+,-,161,423,8.189824559,-1.397,1.397,0.000495216,0.004544928,yes,2,1,1
14040,287.6,SV2A,mRNA,NW_005054618.1:49526-57409,-,-,38,12,4.64385619,1.641,1.641,4.36456E-05,0.000692167,yes,2,1,1
5819,285.7,LOC102033630,mRNA,NW_005054465.1:226483-238129,-,-,52,113,6.366322214,-1.117,1.117,0.020997952,0.074364455,no,2,1,0
3876,285.3,GALR2,mRNA,NW_005054370.1:2127973-2130555,-,-,11,65,5.247927513,-2.588,2.588,3.36587E-08,1.73875E-06,yes,2,1,1
11271,281.3,PEBP1,mRNA,NW_005054330.1:5563954-5566771,+,-,574,4030,11.16867212,-2.813,2.813,3.42432E-20,1.99638E-17,yes,2,1,1
11281,278.4,PEPD,mRNA,NW_005054484.1:805200-953694,+,-,77,208,7.154818109,-1.419,1.419,0.020598103,0.073351535,no,2,1,0
3845,278,GAD1,mRNA,NW_005054298.1:18197331-18223335,+,-,80,12,5.523561956,2.78,2.78,1.71602E-09,1.18029E-07,yes,2,1,1
4153,277.8,GPHN,mRNA,NW_005054301.1:15489163-15685088,+,-,237,34,7.082149041,2.778,2.778,6.51041E-37,2.6569E-33,yes,2,1,1
5951,277.8,LOC102034485,mRNA,NW_005054578.1:349915-353961,-,-,12,32,4.459431619,-1.412,1.412,0.035063095,0.106732339,no,2,1,0
13081,277,SFXN3,mRNA,NW_005054300.1:5146187-5150458,+,-,1571,230,9.814582466,2.77,2.77,6.34737E-22,4.78324E-19,yes,2,1,1
13674,276.7,SOD1,mRNA,NW_005054530.1:700390-704551,-,-,9491,2154,12.50742302,2.14,2.14,2.35988E-09,1.5788E-07,yes,2,1,1
8163,274.9,LOC115947994,lnc_RNA,NW_005054337.1:1120650-1137336,-,-,217,33,6.965784285,2.749,2.749,1.35535E-32,3.31871E-29,yes,2,1,1
9669,274.8,MAP3K15,mRNA,NW_005054403.1:442639-498453,+,-,10,29,4.285402219,-1.488,1.488,0.00480216,0.025243816,yes,2,1,1
7736,272.5,LOC106631910,mRNA,NW_005054383.1:361524-374257,+,-,9163,1386,12.36481862,2.725,2.725,2.18663E-07,8.49973E-06,yes,2,1,1
4905,268.6,IRF6,mRNA,NW_005054566.1:38134-42064,-,-,59,45,5.700439718,0.397,0.397,0.51836315,0.67982567,no,2,0,0
13266,268.3,SLC22A18,mRNA,NW_005054437.1:888975-948495,-,-,98,15,5.820178962,2.683,2.683,6.43101E-06,0.000143939,yes,2,1,1
1542,268,CD79B,mRNA,NW_005054839.1:35689-41824,+,-,96,615,8.47370575,-2.68,2.68,4.15347E-06,0.00010211,yes,2,1,1
8711,267.3,LOC115948698,lnc_RNA,NW_005054478.1:465559-466166,+,-,8096,25573,14.03913325,-1.659,1.659,2.38843E-07,9.17769E-06,yes,2,1,1
12739,266.5,RSAD2,mRNA,NW_005054318.1:8233265-8239893,-,-,2020,5197,11.81718354,-1.363,1.363,0.007715018,0.035629938,yes,2,1,1
2569,266,DDX11,mRNA,NW_005054326.1:1275547-1294650,-,-,802,127,8.859534786,2.66,2.66,4.7033E-06,0.000111811,yes,2,1,1
13618,265.6,SNRNP40,mRNA,NW_005054428.1:1281617-1296753,-,-,6195,983,11.80936621,2.656,2.656,2.00088E-16,6.1242E-14,yes,2,1,1
5672,265,LOC102032705,mRNA,NW_005054311.1:7962138-7966660,+,-,25906,65732,15.48365835,-1.343,1.343,0.034011732,0.104414651,no,2,1,0
3401,264.9,FAM13A,mRNA,NW_005054304.1:6943460-7060781,-,-,626,100,8.503825738,2.649,2.649,1.69414E-12,2.23025E-10,yes,2,1,1
2383,263.9,CUNH20orf194,mRNA,NW_005054548.1:521322-589016,-,-,10,44,4.754887502,-2.104,2.104,0.000320408,0.003268964,yes,2,1,1
15961,263.1,ZNF704,mRNA,NW_005054423.1:325921-395615,+,-,408,66,7.888743249,2.631,2.631,2.88674E-55,3.53423E-51,yes,2,1,1
15879,262,ZHX1,transcript,NW_005054321.1:5097558-5124609,-,-,25,151,6.459431619,-2.62,2.62,1.41075E-21,9.59544E-19,yes,2,1,1
6235,261.7,LOC102036394,mRNA,NW_005054641.1:230630-232370,+,-,932,2275,10.64700864,-1.288,1.288,0.011328636,0.047476836,yes,2,1,1
11680,259.4,POMGNT2,mRNA,NW_005054361.1:4222522-4233361,-,-,1007,364,9.421012856,1.467,1.467,0.000724719,0.006106489,yes,2,1,1
2614,257.3,DENND4C,mRNA,NW_005054323.1:3985369-4044892,-,-,482,81,8.136991112,2.573,2.573,2.88978E-18,1.10561E-15,yes,2,1,1
13778,256.7,SPR,mRNA,NW_005054655.1:265742-267290,-,-,12,70,5.357552005,-2.567,2.567,4.30144E-06,0.000104076,yes,2,1,1
9167,255.3,LOC115949297,rRNA,NW_005055486.1:4248-4400,-,-,7571,2080,12.23646272,1.864,1.864,0.000916795,0.007302747,yes,2,1,1
15790,255,ZBTB46,mRNA,NW_005054337.1:1971786-2019196,+,-,431,74,7.980139578,2.55,2.55,6.64177E-22,4.78324E-19,yes,2,1,1
5575,253.4,LOC102031948,mRNA,NW_005054343.1:3735622-3740662,-,-,1515,441,9.933690655,1.782,1.782,1.5042E-05,0.000290931,yes,2,1,1
2905,253.1,DTX3L,mRNA,NW_005054298.1:7561545-7569389,+,-,2248,6706,12.1283166,-1.577,1.577,0.001085726,0.008292288,yes,2,1,1
7216,252.3,LOC102042767,mRNA,NW_005054897.1:16854-42373,+,-,77,53,6.022367813,0.534,0.534,0.409544844,0.585139167,no,2,0,0
5895,251.8,LOC102034174,mRNA,NW_005054341.1:4570913-4573569,-,-,16,89,5.714245518,-2.518,2.518,3.17147E-08,1.65227E-06,yes,2,1,1
4995,251.7,JMJD7,mRNA,NW_005054312.1:856110-865733,-,-,230,52,7.139551352,2.135,2.135,1.43011E-07,5.91515E-06,yes,2,1,1
2592,251.6,DDX58,mRNA,NW_005054379.1:436364-457001,+,-,357,449,8.654636029,-0.33,0.33,0.437005427,0.610063563,no,2,0,0
4795,249.9,IL4I1,mRNA,NW_005054770.1:28414-37076,+,-,15,48,4.977279923,-1.633,1.633,0.002384765,0.015088723,yes,2,1,1
3581,249.8,FDFT1,mRNA,NW_005054377.1:2316431-2328910,-,-,1810,368,10.08878824,2.297,2.297,1.43805E-12,1.93473E-10,yes,2,1,1
13733,249.7,SPATA5L1,mRNA,NW_005054313.1:3330479-3338330,-,-,42,147,6.562242424,-1.805,1.805,4.14917E-05,0.000666644,yes,2,1,1
8009,247.9,LOC115947799,lnc_RNA,NW_005054317.1:6394759-6395405,+,-,512,92,8.238404739,2.479,2.479,1.59731E-14,3.38019E-12,yes,2,1,1
9736,247.2,MATN3,mRNA,NW_005054318.1:1647737-1661970,+,-,300,94,7.622051819,1.672,1.672,5.72412E-06,0.0001313,yes,2,1,1
7547,246.5,LOC102044823,mRNA,NW_005054480.1:1297301-1298586,-,-,112,474,8.194756854,-2.077,2.077,2.92539E-05,0.000506585,yes,2,1,1
7298,246.3,LOC102043273,mRNA,NW_005054898.1:5760-44323,+,-,236,1302,9.586839788,-2.463,2.463,1.71502E-05,0.00032256,yes,2,1,1
7499,246.2,LOC102044558,mRNA,NW_005054314.1:5108781-5113120,+,-,19,50,5.108524457,-1.423,1.423,2.303E-05,0.000411615,yes,2,1,1
5808,245.2,LOC102033548,mRNA,NW_005054341.1:4111657-4112628,-,-,154,28,6.50779464,2.452,2.452,1.03895E-07,4.47883E-06,yes,2,1,1
2650,245,DHCR7,mRNA,NW_005054402.1:1610452-1617641,+,-,91,24,5.845490051,1.899,1.899,2.72751E-06,7.19676E-05,yes,2,1,1
6292,244.4,LOC102036759,mRNA,NW_005054357.1:3211972-3219093,+,-,35,193,6.832890014,-2.444,2.444,1.70305E-06,5.01212E-05,yes,2,1,1
9502,243.8,LRRC59,mRNA,NW_005054370.1:3162464-3166163,-,-,56,306,7.499845887,-2.438,2.438,2.15627E-11,2.33621E-09,yes,2,1,1
1754,243.3,CFH,mRNA,NW_005054357.1:2420524-2449154,-,-,5,21,3.700439718,-1.972,1.972,0.001192731,0.008947671,yes,1,1,1
12337,241.8,RCC1,mRNA,NW_005054436.1:77634-86439,-,-,42322,11320,14.71107541,1.903,1.903,9.61281E-13,1.35275E-10,yes,2,1,1
1960,241.1,CMPK2,mRNA,NW_005054318.1:8245781-8250937,+,-,922,1432,10.20089861,-0.636,0.636,0.103904299,0.230703724,no,2,0,0
8867,238.8,LOC115948891,lnc_RNA,NW_005054596.1:209000-210702,-,-,43,101,6.169925001,-1.247,1.247,0.005065924,0.026239752,yes,2,1,1
11461,238.1,PITRM1,mRNA,NW_005054422.1:1708471-1735655,-,-,488,2542,10.56510208,-2.381,2.381,3.82235E-09,2.47603E-07,yes,2,1,1
12434,237.1,RGS3,mRNA,NW_005054358.1:1202890-1265807,-,-,20,106,5.977279923,-2.371,2.371,2.1869E-07,8.49973E-06,yes,2,1,1
14237,236.5,TCF24,mRNA,NW_005054346.1:2598220-2601645,+,-,105,20,5.965784285,2.365,2.365,1.93981E-06,5.56185E-05,yes,2,1,1
10650,236.3,NMI,mRNA,NW_005054298.1:14548-24390,+,-,411,1011,9.47370575,-1.297,1.297,0.000377554,0.003698604,yes,2,1,1
5669,236,LOC102032670,mRNA,NW_005054358.1:276298-280115,-,-,86,200,7.159871337,-1.217,1.217,0.03588693,0.108645816,no,2,1,0
10250,235.5,MTTP,mRNA,NW_005054304.1:16356244-16383230,-,-,36,183,6.77478706,-2.355,2.355,1.95171E-08,1.08121E-06,yes,2,1,1
3683,234.7,FLT3,mRNA,NW_005054302.1:771003-804224,+,-,23,116,6.118941073,-2.347,2.347,1.36322E-07,5.65758E-06,yes,2,1,1
14684,232.9,TNFRSF13B,mRNA,NW_005054399.1:120828-123624,-,-,18,88,5.727920455,-2.329,2.329,0.000336305,0.003397183,yes,2,1,1
9246,232.1,LOC115949382,snRNA,NW_005057261.1:1845-2035,+,-,37,21,4.857980995,0.862,0.862,0.125769178,0.263271673,no,2,0,0
14777,232.1,TPPP3,mRNA,NW_005054343.1:3556578-3558733,-,-,42,41,5.375039431,0.038,0.038,0.940072911,0.969682126,no,2,0,0
11032,231.7,P4HA1,mRNA,NW_005054594.1:447022-468773,-,-,1022,205,9.260919534,2.317,2.317,2.30568E-19,1.0455E-16,yes,2,1,1
3176,231.3,ENPP5,mRNA,NW_005054659.1:76492-87287,-,-,1005,202,9.237209961,2.313,2.313,4.96039E-12,5.89612E-10,yes,2,1,1
6484,230,LOC102038021,mRNA,NW_005054536.1:43400-45884,+,-,17,18,4.129283017,-0.098,0.098,0.873371923,0.92883013,no,2,0,0
403,229.7,ALOX5,mRNA,NW_005054300.1:10670981-10692575,+,-,12,61,5.189824559,-2.297,2.297,9.39396E-13,1.33733E-10,yes,2,1,1
6298,229.7,LOC102036786,mRNA,NW_005054297.1:9273857-9276195,-,-,26,125,6.238404739,-2.297,2.297,4.80504E-06,0.000114008,yes,2,1,1
3271,229,ESD,mRNA,NW_005054322.1:3718139-3728747,-,-,1081,221,9.346513733,2.29,2.29,1.43473E-15,3.99212E-13,yes,2,1,1
1545,227.8,CD82,mRNA,NW_005054312.1:4375147-4415160,-,-,221,838,9.048486874,-1.922,1.922,7.1573E-06,0.000157602,yes,2,1,1
12307,227.4,RBM43,mRNA,NW_005054298.1:27566-30211,+,-,345,772,9.12541347,-1.162,1.162,0.027958738,0.091231031,no,2,1,0
4061,227,GM2A,mRNA,NW_005054308.1:6231795-6243140,+,-,193,933,9.136991112,-2.27,2.27,5.67567E-10,4.60527E-08,yes,2,1,1
3877,226.5,GALR3,mRNA,NW_005054334.1:3173404-3176824,+,-,14,69,5.375039431,-2.265,2.265,3.71207E-10,3.20048E-08,yes,2,1,1
7297,226.1,LOC102043268,pseudogene,NW_005054678.1:23283-56959,+,-,55,265,7.321928095,-2.261,2.261,3.04435E-08,1.59966E-06,yes,2,1,1
977,225.6,BANK1,mRNA,NW_005054304.1:15676791-15809361,-,-,70,333,7.654636029,-2.256,2.256,1.45151E-05,0.000282077,yes,2,1,1
2022,225.5,COBL,mRNA,NW_005054464.1:869066-983533,-,-,16,75,5.50779464,-2.255,2.255,2.17707E-05,0.000394872,yes,2,1,1
10651,224.7,NMNAT1,mRNA,NW_005054450.1:1124244-1130408,+,-,20,98,5.882643049,-2.247,2.247,2.78343E-14,5.40913E-12,yes,2,1,1
4831,223,INIP,mRNA,NW_005054385.1:2162866-2174549,-,-,98,458,8.118941073,-2.23,2.23,2.72162E-08,1.43624E-06,yes,2,1,1
7694,223,LOC106631792,mRNA,NW_005054315.1:3581604-3588180,+,-,52,28,5.321928095,0.887,0.887,0.197644733,0.35768876,no,2,0,0
1752,222.9,CFD,mRNA,NW_005054491.1:600886-602906,+,-,88,410,7.960001932,-2.216,2.216,6.16193E-08,2.93543E-06,yes,2,1,1
6923,222.7,LOC102040639,mRNA,NW_005054594.1:11265-24765,+,-,126,433,8.126704473,-1.779,1.779,0.01123187,0.047287409,yes,2,1,1
15579,222.3,WDFY4,mRNA,NW_005054300.1:9809194-9917574,-,-,156,727,8.786269628,-2.223,2.223,2.34661E-05,0.00041758,yes,2,1,1
15124,222.1,TSTD3,mRNA,NW_005054305.1:14186756-14189100,+,-,39,178,6.761551232,-2.189,2.189,2.44714E-12,3.12087E-10,yes,2,1,1
2074,221.6,COLEC12,mRNA,NW_005054305.1:1486099-1570995,+,-,22,28,4.64385619,-0.326,0.326,0.548874827,0.705964578,no,2,0,0
11787,221.3,PPP3CC,mRNA,NW_005054703.1:11468-36554,-,-,77,355,7.754887502,-2.213,2.213,2.24298E-06,6.2332E-05,yes,2,1,1
7508,220.6,LOC102044609,mRNA,NW_005054298.1:7589208-7608038,+,-,1406,4603,11.55290921,-1.711,1.711,0.000736805,0.006191288,yes,2,1,1
15028,220.6,TRNAS-UGA,tRNA,NW_005054488.1:1182840-1182921,+,-,36,31,5.06608919,0.196,0.196,0.696507552,0.816326054,no,2,0,0
9138,220.4,LOC115949267,lnc_RNA,NW_005055302.1:7473-9215,+,-,57,25,5.357552005,1.182,1.182,0.000773007,0.006433386,yes,2,1,1
3168,220.1,ENOPH1,mRNA,NW_005054304.1:4730753-4739179,-,-,2144,466,10.34983409,2.201,2.201,3.88866E-10,3.32929E-08,yes,2,1,1
1001,219.8,BCAR1,mRNA,NW_005054343.1:2735812-2741666,+,-,231,72,7.243173983,1.679,1.679,6.45962E-11,6.70213E-09,yes,2,1,1
14746,219.6,TOX,mRNA,NW_005054305.1:11680864-11899568,-,-,14,65,5.303780748,-2.196,2.196,4.59233E-06,0.000109385,yes,2,1,1
14697,219.5,TNFSF15,mRNA,NW_005054358.1:2824799-2843592,-,-,13,26,4.285402219,-1.001,1.001,0.058672136,0.154544528,no,2,1,0
1357,219.1,CAVIN2,mRNA,NW_005054298.1:28157154-28193574,+,-,37,76,5.820178962,-1.043,1.043,0.00141964,0.010227747,yes,2,1,1
5907,218.9,LOC102034253,mRNA,NW_005054641.1:218577-219395,+,-,64,54,5.882643049,0.237,0.237,0.593903218,0.741349622,no,2,0,0
13732,218.9,SPATA5,mRNA,NW_005054435.1:1175254-1335810,+,-,13,60,5.189824559,-2.189,2.189,0.000164366,0.001946167,yes,2,1,1
14472,218.4,TMCC3,mRNA,NW_005054331.1:3653740-3785987,-,-,17,76,5.539158811,-2.184,2.184,4.14575E-05,0.000666644,yes,2,1,1
12969,218.3,SELE,mRNA,NW_005054421.1:2052380-2058317,+,-,489,107,8.21916852,2.183,2.183,0.009443327,0.04137962,yes,2,1,1
2976,218.2,ECHDC3,mRNA,NW_005054409.1:193733-199119,+,-,839,185,9,2.182,2.182,5.86597E-20,3.26441E-17,yes,2,1,1
1582,217.9,CDCA7,mRNA,NW_005054298.1:19099772-19108529,+,-,13,59,5.169925001,-2.179,2.179,4.50996E-06,0.000107843,yes,2,1,1
4865,217,INTS6,mRNA,NW_005054322.1:5471244-5508313,-,-,160,385,8.09011242,-1.267,1.267,0.000187034,0.002164321,yes,2,1,1
3300,216.5,ETV7,mRNA,NW_005054472.1:1357832-1367144,+,-,54,206,7.022367813,-1.943,1.943,8.18667E-06,0.000177084,yes,2,1,1
