Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg mUCRA,avg mUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
6568,0,LOC102038536,mRNA,NW_005054686.1:167679-204423,+,-,0,0,-3.3,0.0,0.0,1.00,1.00,no,0,0,0
14790,593,TRABD2A,mRNA,NW_005054485.1:737364-837842,-,-,37,1,4.2,6.2,6.2,0.00,0.00,yes,1,1,1
12072,338,PVALB,mRNA,NW_005054334.1:2644634-2654474,-,-,16,0,3.0,6.2,6.2,0.00,0.00,yes,1,1,1
13132,-197,SH3TC1,mRNA,NW_005054372.1:2571088-2599558,-,-,8,16,3.6,-1.1,1.1,0.33,0.54,no,1,1,0
6449,-607,LOC102037801,mRNA,NW_005056294.1:284-1950,+,-,1,16,3.1,-4.2,4.2,0.00,0.00,yes,1,1,1
2273,602,CTHRC1,mRNA,NW_005054353.1:2493625-2497044,+,-,5,0,1.3,3.7,3.7,0.02,0.09,no,0,1,0
6130,-601,LOC102035828,mRNA,NW_005063003.1:256-954,-,-,0,11,2.5,-5.6,5.6,0.00,0.01,yes,1,1,1
14033,591,SUSD2,mRNA,NW_005054330.1:1159679-1176267,-,-,5,0,1.3,4.1,4.1,0.00,0.03,yes,0,1,0
11262,586,PDZD7,mRNA,NW_005054300.1:5136710-5144187,-,-,1401,50,9.5,4.8,4.8,0.00,0.00,yes,2,1,1
6627,-586,LOC102038924,mRNA,NW_005054436.1:1390726-1402305,-,-,4,66,5.1,-3.9,3.9,0.00,0.00,yes,1,1,1
3422,-577,FAM169A,mRNA,NW_005054476.1:376954-398364,+,-,4,248,7.0,-5.8,5.8,0.00,0.00,yes,1,1,1
13724,-157,SPATA13,mRNA,NW_005054302.1:2001310-2170880,+,-,3,3,1.6,-0.2,0.2,0.84,0.92,no,0,0,0
5995,-579,LOC102034805,mRNA,NW_005054460.1:17924-28559,-,-,56,2372,10.2,-5.4,5.4,0.00,0.00,yes,2,1,1
6061,576,LOC102035260,mRNA,NW_005055086.1:917-8663,+,-,10,1,2.5,3.9,3.9,0.00,0.00,yes,1,1,1
5386,-531,LDHD,mRNA,NW_005054343.1:2749661-2752855,+,-,1,56,4.8,-5.7,5.7,0.00,0.00,yes,1,1,1
140,-571,ACSL3,mRNA,NW_005054371.1:351943-387608,+,-,12,333,7.4,-4.8,4.8,0.00,0.00,yes,2,1,1
9711,-566,MARCHF3,mRNA,NW_005054670.1:167527-223128,+,-,0,11,2.5,-4.9,4.9,0.00,0.00,yes,1,1,1
14499,-372,TMEM120B,mRNA,NW_005054362.1:2883606-2892682,+,-,8,367,7.6,-5.6,5.6,0.00,0.00,yes,1,1,1
937,419,B3GALT5,mRNA,NW_005054656.1:285172-288637,-,-,3,0,0.6,3.4,3.4,0.01,0.04,yes,0,1,0
4272,-545,GRK5,mRNA,NW_005054451.1:537196-708976,-,-,2,19,3.4,-3.3,3.3,0.00,0.00,yes,1,1,1
4620,0,HSF2BP,mRNA,NW_005054438.1:495050-526933,+,-,1,14,2.9,-3.7,3.7,0.01,0.04,yes,1,1,1
3752,544,FRMD3,mRNA,NW_005054323.1:773432-855713,+,-,15,0,2.9,5.3,5.3,0.00,0.00,yes,1,1,1
6314,-542,LOC102036895,mRNA,NW_005054410.1:2491199-2502757,+,-,1,11,2.6,-4.2,4.2,0.00,0.02,yes,1,1,1
5611,537,LOC102032275,mRNA,NW_005054343.1:3747708-3757277,+,-,31,10,4.4,1.6,1.6,0.09,0.24,no,2,1,0
3227,-537,EPSTI1,mRNA,NW_005054322.1:2077566-2127800,-,-,116,135,7.0,-0.2,0.2,0.75,0.86,no,2,0,0
4596,-537,HRH1,mRNA,NW_005054650.1:286118-289189,-,-,0,5,1.3,-3.9,3.9,0.00,0.01,yes,0,1,0
6250,27,LOC102036509,mRNA,NW_005054721.1:54617-110504,-,+,4,4,2.0,0.2,0.2,0.62,0.77,no,0,0,0
3682,-468,FLT1,mRNA,NW_005054302.1:581831-675121,+,-,1,35,4.2,-5.3,5.3,0.00,0.00,yes,1,1,1
5824,-528,LOC102033658,mRNA,NW_005054309.1:473162-475599,-,-,2,4,1.6,-1.2,1.2,0.41,0.61,no,0,1,0
8373,-526,LOC115948281,mRNA,NW_005054370.1:821289-831924,+,-,4,21,3.6,-2.4,2.4,0.01,0.04,yes,1,1,1
5022,517,KATNAL2,mRNA,NW_005054365.1:2329131-2351240,+,-,10,1,2.5,3.4,3.4,0.00,0.00,yes,1,1,1
2403,-516,CUNH3orf52,mRNA,NW_005054320.1:1005814-1016055,+,-,1,4,1.3,-1.9,1.9,0.09,0.23,no,0,1,0
2535,-410,DCP1B,mRNA,NW_005054326.1:51980-90819,+,-,11,373,7.6,-5.1,5.1,0.00,0.00,yes,2,1,1
13242,383,SLC16A4,mRNA,NW_005054425.1:2094286-2117956,-,-,1,11,2.6,-3.2,3.2,0.01,0.04,yes,1,1,1
2917,-149,DUSP14,mRNA,NW_005054368.1:1226721-1230431,-,-,9,277,7.2,-5.0,5.0,0.00,0.00,yes,1,1,1
7882,-489,LOC106632244,mRNA,NW_005054308.1:11117084-11121718,+,-,10,179,6.6,-4.2,4.2,0.00,0.00,yes,2,1,1
7043,106,LOC102041422,mRNA,NW_005054776.1:1685-90279,+,+,10,3,2.7,1.6,1.6,0.00,0.01,yes,1,1,1
12785,487,RUSC2,mRNA,NW_005054471.1:11580-68574,-,-,33,2,4.1,3.9,3.9,0.00,0.00,yes,1,1,1
6883,-168,LOC102040415,mRNA,NW_005054772.1:61977-63228,-,-,0,10,2.3,-4.8,4.8,0.00,0.00,yes,1,1,1
7114,482,LOC102042000,mRNA,NW_005054621.1:374304-380647,-,-,5,7,2.6,-0.5,0.5,0.47,0.66,no,0,0,0
9585,-477,LYVE1,mRNA,NW_005054416.1:784105-792465,-,-,1,36,4.2,-4.8,4.8,0.00,0.00,yes,1,1,1
14164,-333,TASOR,mRNA,NW_005054339.1:4765016-4793315,-,-,172,4536,11.2,-4.7,4.7,0.00,0.00,yes,2,1,1
7246,382,LOC102042979,mRNA,NW_005054380.1:1757134-1761388,+,-,40,1,4.4,4.7,4.7,0.00,0.00,yes,1,1,1
1717,-435,CERS1,mRNA,NW_005054662.1:257479-263820,-,-,0,5,1.3,-4.7,4.7,0.00,0.00,yes,0,1,0
6337,119,LOC102037024,mRNA,NW_005054299.1:617324-626316,-,-,2878,129,10.6,4.5,4.5,0.00,0.00,yes,2,1,1
15388,-446,USP18,mRNA,NW_005054384.1:865266-877230,+,-,67,116,6.5,-0.8,0.8,0.21,0.40,no,2,0,0
5696,-444,LOC102032844,mRNA,NW_005054384.1:881243-891191,+,-,6,11,3.1,-0.8,0.8,0.26,0.46,no,1,0,0
2898,-319,DTNA,mRNA,NW_005054305.1:6859868-7029080,+,-,29,10,4.3,1.5,1.5,0.12,0.28,no,2,1,0
12839,-439,SARDH,mRNA,NW_005054329.1:3535451-3561305,+,-,9,6,2.9,0.5,0.5,0.66,0.80,no,0,0,0
5025,439,KAZALD1,mRNA,NW_005054300.1:5157654-5162705,+,-,218,13,6.9,4.1,4.1,0.00,0.00,yes,2,1,1
9274,-434,LOC115949410,mRNA,NW_005058530.1:156-1642,+,-,45,378,7.7,-3.1,3.1,0.00,0.00,yes,2,1,1
1446,-264,CCDC66,mRNA,NW_005054339.1:4742550-4764026,+,-,14,277,7.2,-4.3,4.3,0.00,0.00,yes,2,1,1
10754,368,NR4A3,mRNA,NW_005054311.1:7593942-7620263,-,-,2229,115,10.2,4.3,4.3,0.00,0.00,yes,2,1,1
2052,-24,COL28A1,mRNA,NW_005054307.1:4898846-4956641,+,-,109,49,6.3,1.1,1.1,0.04,0.15,no,2,1,0
2149,-110,CPO,mRNA,NW_005054298.1:24140402-24154177,+,-,1,15,3.0,-4.3,4.3,0.00,0.00,yes,1,1,1
13629,355,SNTA1,mRNA,NW_005054561.1:117938-140779,-,-,48,3,4.7,4.2,4.2,0.00,0.00,yes,1,1,1
2504,203,DBNDD2,mRNA,NW_005054337.1:4390293-4397520,+,-,140,8,6.2,4.2,4.2,0.00,0.00,yes,1,1,1
9336,-303,LOC115949477,lnc_RNA,NW_005054302.1:11908711-11912902,-,-,1,14,2.9,-4.2,4.2,0.00,0.00,yes,1,1,1
2140,420,CPN2,mRNA,NW_005054309.1:215692-225342,+,-,690,84,8.6,3.0,3.0,0.00,0.00,yes,2,1,1
9119,-419,LOC115949242,mRNA,NW_005055209.1:2637-6819,-,-,39,282,7.3,-2.8,2.8,0.00,0.00,yes,2,1,1
2464,412,CYSRT1,mRNA,NW_005054358.1:800083-800833,+,-,5,3,2.0,0.8,0.8,0.36,0.56,no,0,0,0
991,384,BBOX1,mRNA,NW_005054429.1:2029303-2046264,+,-,29,2,4.0,4.1,4.1,0.00,0.00,yes,1,1,1
5223,411,KLF11,mRNA,NW_005054318.1:6702695-6715007,-,-,2384,238,10.4,3.3,3.3,0.00,0.00,yes,2,1,1
5871,-95,LOC102034033,mRNA,NW_005054515.1:98304-220456,+,-,5,4,2.2,0.6,0.6,0.52,0.70,no,0,0,0
6044,409,LOC102035141,mRNA,NW_005054444.1:895211-924794,-,-,177,40,6.8,2.2,2.2,0.00,0.01,yes,2,1,1
13868,306,SSX2IP,mRNA,NW_005054336.1:605097-618664,-,-,121,7,6.0,4.1,4.1,0.00,0.00,yes,1,1,1
14066,324,SYNDIG1L,mRNA,NW_005054301.1:6432441-6437603,+,-,313,18,7.4,4.1,4.1,0.00,0.00,yes,2,1,1
2383,-405,CUNH20orf194,mRNA,NW_005054548.1:521322-589016,-,-,10,38,4.6,-1.9,1.9,0.00,0.02,yes,2,1,1
14370,-93,THBS4,mRNA,NW_005054440.1:55160-94769,-,-,14,9,3.5,0.6,0.6,0.39,0.59,no,1,0,0
1786,-178,CHDH,mRNA,NW_005054339.1:3631940-3645180,-,-,43,57,5.6,-0.4,0.4,0.62,0.78,no,2,0,0
3397,-403,FAM131B,mRNA,NW_005054589.1:417131-431456,-,-,2,2,1.0,-0.3,0.3,0.75,0.86,no,0,0,0
491,-401,ANKRD31,mRNA,NW_005054476.1:218401-282072,+,-,6,19,3.6,-1.6,1.6,0.00,0.01,yes,1,1,1
330,-401,AIFM3,mRNA,NW_005054448.1:1469539-1514339,-,-,5,47,4.7,-3.1,3.1,0.00,0.01,yes,1,1,1
1954,278,CMBL,mRNA,NW_005054340.1:61978-69619,-,-,9561,597,12.3,4.0,4.0,0.00,0.00,yes,2,1,1
2985,-331,EDA,mRNA,NW_005054456.1:44908-79578,-,-,19,297,7.3,-4.0,4.0,0.00,0.00,yes,2,1,1
6467,-211,LOC102037914,mRNA,NW_005054559.1:83284-86096,-,-,25,237,7.0,-3.2,3.2,0.00,0.01,yes,2,1,1
6620,-400,LOC102038864,mRNA,NW_005054600.1:305293-308049,-,-,97,433,8.0,-2.2,2.2,0.00,0.00,yes,2,1,1
12845,-392,SASH1,mRNA,NW_005054316.1:549550-671799,-,-,5,6,2.5,-0.3,0.3,0.75,0.86,no,0,0,0
10315,-390,MYO10,mRNA,NW_005054340.1:2895552-3022544,-,-,3,36,4.3,-3.5,3.5,0.00,0.01,yes,1,1,1
15495,-387,VPS13C,mRNA,NW_005054398.1:1089666-1158693,-,-,240,1626,9.9,-2.8,2.8,0.00,0.00,yes,2,1,1
15985,-386,ZPLD1,mRNA,NW_005054391.1:995752-1026194,+,-,2,12,2.8,-2.5,2.5,0.00,0.00,yes,1,1,1
5933,-384,LOC102034377,mRNA,NW_005054297.1:24421603-24433139,-,-,2345,14033,13.0,-2.6,2.6,0.00,0.00,yes,2,1,1
98,-111,ACAN,mRNA,NW_005054313.1:790129-839824,+,-,1,13,2.8,-3.8,3.8,0.00,0.00,yes,1,1,1
4788,381,IL22RA2,mRNA,NW_005054316.1:3228699-3234585,-,-,465,69,8.1,2.8,2.8,0.00,0.00,yes,2,1,1
7667,-381,LOC102045521,mRNA,NW_005054388.1:701152-702087,-,-,1,7,2.0,-3.1,3.1,0.00,0.02,yes,0,1,0
4019,116,GJD4,mRNA,NW_005054511.1:221661-228416,+,-,18,1,3.2,3.8,3.8,0.00,0.00,yes,1,1,1
13995,-145,STXBP5L,mRNA,NW_005054320.1:6206004-6390179,+,-,4,4,2.0,-0.1,0.1,0.86,0.93,no,0,0,0
12281,-378,RBBP8NL,mRNA,NW_005054337.1:131631-145164,-,-,2,7,2.2,-2.3,2.3,0.00,0.03,yes,0,1,0
1027,374,BCO2,mRNA,NW_005054447.1:136807-151940,+,-,59,10,5.1,2.5,2.5,0.00,0.00,yes,2,1,1
13904,178,STAR,mRNA,NW_005054597.1:392379-395117,-,-,115,69,6.5,0.7,0.7,0.20,0.39,no,2,0,0
6290,76,LOC102036741,mRNA,NW_005054300.1:11785967-11791555,+,-,10,12,3.5,-0.3,0.3,0.68,0.82,no,2,0,0
14040,368,SV2A,mRNA,NW_005054618.1:49526-57409,-,-,37,10,4.6,1.8,1.8,0.00,0.00,yes,2,1,1
5918,359,LOC102034299,mRNA,NW_005054427.1:1418648-1430399,-,-,8,2,2.3,1.8,1.8,0.02,0.08,no,0,1,0
3224,-355,EPS8,mRNA,NW_005054384.1:1605835-1733374,-,-,2,1,0.6,1.0,1.0,0.35,0.55,no,0,0,0
10436,363,NCKAP5,mRNA,NW_005054298.1:5335147-5713343,+,-,16,2,3.2,3.2,3.2,0.00,0.01,yes,1,1,1
6380,-254,LOC102037327,mRNA,NW_005054372.1:1528618-1529418,-,-,52,42,5.6,0.3,0.3,0.66,0.80,no,2,0,0
8946,-324,LOC115949016,mRNA,NW_005054680.1:141173-142372,+,-,7,50,4.8,-2.8,2.8,0.00,0.01,yes,1,1,1
5575,358,LOC102031948,mRNA,NW_005054343.1:3735622-3740662,-,-,1415,448,9.9,1.7,1.7,0.00,0.00,yes,2,1,1
8614,199,LOC115948573,lnc_RNA,NW_005054435.1:426163-433834,+,-,20,2,3.5,3.6,3.6,0.00,0.00,yes,1,1,1
5263,148,KLHL32,mRNA,NW_005054305.1:12941669-13036264,+,-,257,140,7.6,0.9,0.9,0.11,0.27,no,2,0,0
7194,13,LOC102042641,mRNA,NW_005054376.1:3054405-3059851,+,-,50,35,5.4,0.5,0.5,0.24,0.44,no,2,0,0
11717,-354,PPFIA4,mRNA,NW_005054425.1:372142-407557,-,-,9,32,4.4,-1.7,1.7,0.00,0.01,yes,1,1,1
14232,-177,TCERG1L,mRNA,NW_005054506.1:706741-869493,+,-,5,7,2.6,-0.6,0.6,0.34,0.54,no,0,0,0
10620,296,NKAIN1,mRNA,NW_005054428.1:1237327-1249681,-,-,289,25,7.3,3.5,3.5,0.00,0.00,yes,2,1,1
7322,352,LOC102043424,mRNA,NW_005054421.1:719900-732904,-,-,117,35,6.2,1.7,1.7,0.00,0.03,yes,2,1,1
3844,350,GABRR3,mRNA,NW_005054338.1:2155112-2180655,-,-,11,2,2.7,2.4,2.4,0.00,0.00,yes,1,1,1
15660,347,WNT4,mRNA,NW_005054473.1:1239811-1253079,+,-,15,3,3.2,2.5,2.5,0.00,0.00,yes,1,1,1
4702,122,IFITM5,mRNA,NW_005054416.1:1970354-1973894,-,-,26,5,4.0,2.5,2.5,0.00,0.00,yes,1,1,1
4561,345,HOXA3,mRNA,NW_005054333.1:3447890-3462733,+,-,38,4,4.4,3.2,3.2,0.00,0.00,yes,1,1,1
5819,-343,LOC102033630,mRNA,NW_005054465.1:226483-238129,-,-,55,73,6.0,-0.4,0.4,0.41,0.61,no,2,0,0
7893,-343,LOC115947657,mRNA,NW_005054308.1:11112279-11116632,+,-,165,335,8.0,-1.0,1.0,0.02,0.10,no,2,1,0
7216,341,LOC102042767,mRNA,NW_005054897.1:16854-42373,+,-,82,64,6.2,0.4,0.4,0.60,0.76,no,2,0,0
5815,340,LOC102033595,mRNA,NW_005054312.1:850782-854859,-,-,55,12,5.1,2.2,2.2,0.00,0.03,yes,2,1,1
11491,300,PLA2G15,mRNA,NW_005054343.1:1671689-1687941,+,-,425,41,7.9,3.4,3.4,0.00,0.00,yes,2,1,1
3767,-338,FRZB,mRNA,NW_005054606.1:343609-363546,-,-,2,4,1.6,-0.6,0.6,0.53,0.71,no,0,0,0
4129,-267,GPA33,mRNA,NW_005054338.1:2583846-2592752,+,-,1,14,2.9,-3.4,3.4,0.00,0.01,yes,1,1,1
10113,338,MRPL24,mRNA,NW_005054582.1:16375-18118,-,-,14432,2211,13.0,2.7,2.7,0.00,0.00,yes,2,1,1
7113,-270,LOC102041996,mRNA,NW_005054548.1:648047-669596,+,-,9,21,3.9,-1.3,1.3,0.09,0.23,no,1,1,0
2885,-219,DSCC1,mRNA,NW_005054321.1:3783197-3797161,-,-,22,223,6.9,-3.4,3.4,0.00,0.00,yes,2,1,1
8996,-332,LOC115949082,mRNA,NW_005054744.1:79786-87655,+,+,14,117,6.0,-3.1,3.1,0.00,0.00,yes,2,1,1
2064,117,COL6A6,mRNA,NW_005054361.1:3722687-3766254,-,-,93,9,5.7,3.4,3.4,0.00,0.00,yes,1,1,1
4354,188,GYPC,mRNA,NW_005054298.1:12131524-12164843,+,-,35,6,4.4,2.6,2.6,0.00,0.00,yes,1,1,1
6577,-335,LOC102038583,mRNA,NW_005054392.1:2539531-2550310,+,-,30,91,5.9,-1.6,1.6,0.00,0.02,yes,2,1,1
3670,-334,FKBP6,mRNA,NW_005054381.1:3201312-3223525,+,-,5,7,2.6,-0.3,0.3,0.69,0.82,no,0,0,0
457,-6,ANGPTL4,mRNA,NW_005054441.1:1270916-1301918,+,-,19,17,4.2,0.2,0.2,0.66,0.80,no,2,0,0
5608,333,LOC102032244,mRNA,NW_005054532.1:778737-780769,-,-,46,8,4.8,2.6,2.6,0.00,0.00,yes,1,1,1
8725,165,LOC115948716,lnc_RNA,NW_005054485.1:1030476-1034590,+,-,22,2,3.6,3.3,3.3,0.00,0.00,yes,1,1,1
6269,-243,LOC102036614,mRNA,NW_005054573.1:634-9829,+,-,2,16,3.2,-3.3,3.3,0.00,0.01,yes,1,1,1
