Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg mICRA,avg mUCRA,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
2504,-57,DBNDD2,mRNA,NW_005054337.1:4390293-4397520,+,-,95,140,6.876516947,-0.574,0.574,0.229247015,1,no,2,0,0
9336,134,LOC115949477,lnc_RNA,NW_005054302.1:11908711-11912902,-,-,2,1,0.584962501,1.337,1.337,0.251666703,1,no,0,1,0
2140,-10,CPN2,mRNA,NW_005054309.1:215692-225342,+,-,644,690,9.381542951,-0.1,0.1,0.817660032,1,no,2,0,0
9119,-137,LOC115949242,mRNA,NW_005055209.1:2637-6819,-,-,15,39,4.754887502,-1.369,1.369,0.039249273,1,no,2,1,0
2464,122,CYSRT1,mRNA,NW_005054358.1:800083-800833,+,-,11,5,3,1.216,1.216,0.128126698,1,no,1,1,0
991,11,BBOX1,mRNA,NW_005054429.1:2029303-2046264,+,-,31,29,4.906890596,0.108,0.108,0.7996123,1,no,2,0,0
5223,-38,KLF11,mRNA,NW_005054318.1:6702695-6715007,-,-,1834,2384,11.04234338,-0.378,0.378,0.354354294,1,no,2,0,0
5871,10,LOC102034033,mRNA,NW_005054515.1:98304-220456,+,-,5,5,2.321928095,0.104,0.104,0.904639803,1,no,0,0,0
6044,26,LOC102035141,mRNA,NW_005054444.1:895211-924794,-,-,212,177,7.603626345,0.257,0.257,0.686646829,1,no,2,0,0
13868,-40,SSX2IP,mRNA,NW_005054336.1:605097-618664,-,-,92,121,6.73470962,-0.4,0.4,0.262320623,1,no,2,0,0
14066,-23,SYNDIG1L,mRNA,NW_005054301.1:6432441-6437603,+,-,268,313,8.182394353,-0.225,0.225,0.79479748,1,no,2,0,0
2383,-154,CUNH20orf194,mRNA,NW_005054548.1:521322-589016,-,-,4,10,2.807354922,-1.535,1.535,0.029027498,1,no,1,1,0
14370,-54,THBS4,mRNA,NW_005054440.1:55160-94769,-,-,10,14,3.584962501,-0.537,0.537,0.468007769,1,no,2,0,0
1786,-10,CHDH,mRNA,NW_005054339.1:3631940-3645180,-,-,40,43,5.375039431,-0.096,0.096,0.916030432,1,no,2,0,0
3397,-176,FAM131B,mRNA,NW_005054589.1:417131-431456,-,-,1,2,0.584962501,-1.758,1.758,0.10999785,1,no,0,1,0
491,-98,ANKRD31,mRNA,NW_005054476.1:218401-282072,+,-,3,6,2.169925001,-0.98,0.98,0.094448581,1,no,0,0,0
330,-55,AIFM3,mRNA,NW_005054448.1:1469539-1514339,-,-,4,5,2.169925001,-0.553,0.553,0.567242972,1,no,0,0,0
1954,-12,CMBL,mRNA,NW_005054340.1:61978-69619,-,-,8773,9561,13.16223396,-0.124,0.124,0.781619712,1,no,2,0,0
2985,34,EDA,mRNA,NW_005054456.1:44908-79578,-,-,24,19,4.426264755,0.337,0.337,0.599483594,1,no,2,0,0
6467,-9,LOC102037914,mRNA,NW_005054559.1:83284-86096,-,-,24,25,4.614709844,-0.093,0.093,0.925004445,1,no,2,0,0
6620,25,LOC102038864,mRNA,NW_005054600.1:305293-308049,-,-,115,97,6.727920455,0.249,0.249,0.654514433,1,no,2,0,0
12845,-52,SASH1,mRNA,NW_005054316.1:549550-671799,-,-,3,5,2,-0.52,0.52,0.544380553,1,no,0,0,0
10315,-63,MYO10,mRNA,NW_005054340.1:2895552-3022544,-,-,2,3,1.321928095,-0.633,0.633,0.597105623,1,no,0,0,0
15495,-71,VPS13C,mRNA,NW_005054398.1:1089666-1158693,-,-,147,240,7.596189756,-0.707,0.707,0.187665843,1,no,2,0,0
15985,-2,ZPLD1,mRNA,NW_005054391.1:995752-1026194,+,-,0,2,0,-1.793,1.793,0.060589612,1,no,0,1,0
5933,-148,LOC102034377,mRNA,NW_005054297.1:24421603-24433139,-,-,839,2345,10.63662462,-1.482,1.482,0.001078962,0.825292293,no,2,1,0
98,104,ACAN,mRNA,NW_005054313.1:790129-839824,+,-,2,1,0.584962501,1.037,1.037,0.331032608,1,no,0,1,0
4788,-2,IL22RA2,mRNA,NW_005054316.1:3228699-3234585,-,-,459,465,8.851749041,-0.018,0.018,0.967107513,1,no,2,0,0
7667,0,LOC102045521,mRNA,NW_005054388.1:701152-702087,-,-,1,1,0,-0.178,0.178,0.885496354,1,no,0,0,0
4019,-93,GJD4,mRNA,NW_005054511.1:221661-228416,+,-,9,18,3.754887502,-0.93,0.93,0.145769279,1,no,1,0,0
13995,-37,STXBP5L,mRNA,NW_005054320.1:6206004-6390179,+,-,3,4,1.807354922,-0.369,0.369,0.61094823,1,no,0,0,0
12281,-41,RBBP8NL,mRNA,NW_005054337.1:131631-145164,-,-,1,2,0.584962501,-0.411,0.411,0.674502246,1,no,0,0,0
1027,22,BCO2,mRNA,NW_005054447.1:136807-151940,+,-,68,59,5.988684687,0.221,0.221,0.595514556,1,no,2,0,0
13904,-5,STAR,mRNA,NW_005054597.1:392379-395117,-,-,111,115,6.820178962,-0.053,0.053,0.929313095,1,no,2,0,0
6290,-17,LOC102036741,mRNA,NW_005054300.1:11785967-11791555,+,-,9,10,3.247927513,-0.167,0.167,0.798917389,1,no,1,0,0
14040,70,SV2A,mRNA,NW_005054618.1:49526-57409,-,-,60,37,5.599912842,0.696,0.696,0.099973809,1,no,2,0,0
5918,78,LOC102034299,mRNA,NW_005054427.1:1418648-1430399,-,-,13,8,3.392317423,0.782,0.782,0.255366786,1,no,1,0,0
3224,-103,EPS8,mRNA,NW_005054384.1:1605835-1733374,-,-,1,2,0.584962501,-1.027,1.027,0.334042547,1,no,0,1,0
10436,-80,NCKAP5,mRNA,NW_005054298.1:5335147-5713343,+,-,9,16,3.64385619,-0.8,0.8,0.384510929,1,no,1,0,0
6380,58,LOC102037327,mRNA,NW_005054372.1:1528618-1529418,-,-,78,52,6.022367813,0.582,0.582,0.465338802,1,no,2,0,0
8946,-37,LOC115949016,mRNA,NW_005054680.1:141173-142372,+,-,6,7,2.700439718,-0.371,0.371,0.684548277,1,no,0,0,0
5575,-16,LOC102031948,mRNA,NW_005054343.1:3735622-3740662,-,-,1266,1415,10.3885555,-0.161,0.161,0.724640555,1,no,2,0,0
8614,-93,LOC115948573,lnc_RNA,NW_005054435.1:426163-433834,+,-,10,20,3.906890596,-0.93,0.93,0.171425924,1,no,2,0,0
5263,29,KLHL32,mRNA,NW_005054305.1:12941669-13036264,+,-,314,257,8.157346935,0.292,0.292,0.610406427,1,no,2,0,0
7194,-53,LOC102042641,mRNA,NW_005054376.1:3054405-3059851,+,-,35,50,5.409390936,-0.532,0.532,0.238681762,1,no,2,0,0
11717,21,PPFIA4,mRNA,NW_005054425.1:372142-407557,-,-,11,9,3.321928095,0.212,0.212,0.711825234,1,no,1,0,0
14232,-41,TCERG1L,mRNA,NW_005054506.1:706741-869493,+,-,4,5,2.169925001,-0.41,0.41,0.569527474,1,no,0,0,0
10620,-27,NKAIN1,mRNA,NW_005054428.1:1237327-1249681,-,-,241,289,8.049848549,-0.267,0.267,0.705510016,1,no,2,0,0
7322,117,LOC102043424,mRNA,NW_005054421.1:719900-732904,-,-,263,117,7.569855608,1.165,1.165,0.06335195,1,no,2,1,0
3844,16,GABRR3,mRNA,NW_005054338.1:2155112-2180655,-,-,13,11,3.584962501,0.159,0.159,0.716306257,1,no,2,0,0
15660,109,WNT4,mRNA,NW_005054473.1:1239811-1253079,+,-,32,15,4.554588852,1.089,1.089,0.032441884,1,no,2,1,0
4702,-62,IFITM5,mRNA,NW_005054416.1:1970354-1973894,-,-,17,26,4.426264755,-0.623,0.623,0.305439238,1,no,2,0,0
4561,8,HOXA3,mRNA,NW_005054333.1:3447890-3462733,+,-,40,38,5.285402219,0.075,0.075,0.909226094,1,no,2,0,0
5819,-13,LOC102033630,mRNA,NW_005054465.1:226483-238129,-,-,50,55,5.714245518,-0.126,0.126,0.813870227,1,no,2,0,0
7893,-39,LOC115947657,mRNA,NW_005054308.1:11112279-11116632,+,-,126,165,7.184875343,-0.387,0.387,0.412199429,1,no,2,0,0
7216,119,LOC102042767,mRNA,NW_005054897.1:16854-42373,+,-,188,82,7.076815597,1.19,1.19,0.102676886,1,no,2,1,0
5815,69,LOC102033595,mRNA,NW_005054312.1:850782-854859,-,-,89,55,6.169925001,0.692,0.692,0.383007228,1,no,2,0,0
11491,-29,PLA2G15,mRNA,NW_005054343.1:1671689-1687941,+,-,348,425,8.594324604,-0.287,0.287,0.359350238,1,no,2,0,0
3767,-66,FRZB,mRNA,NW_005054606.1:343609-363546,-,-,2,2,1,-0.664,0.664,0.553278553,1,no,0,0,0
4129,-1,GPA33,mRNA,NW_005054338.1:2583846-2592752,+,-,1,1,0,-0.514,0.514,0.651413372,1,no,0,0,0
10113,15,MRPL24,mRNA,NW_005054582.1:16375-18118,-,-,16055,14432,13.89590657,0.154,0.154,0.545308074,1,no,2,0,0
7113,-131,LOC102041996,mRNA,NW_005054548.1:648047-669596,+,-,4,9,2.700439718,-1.308,1.308,0.111740223,1,no,0,1,0
2885,-8,DSCC1,mRNA,NW_005054321.1:3783197-3797161,-,-,20,22,4.392317423,-0.081,0.081,0.883977664,1,no,2,0,0
8996,-63,LOC115949082,mRNA,NW_005054744.1:79786-87655,+,+,9,14,3.523561956,-0.631,0.631,0.208222855,1,no,1,0,0
2064,-76,COL6A6,mRNA,NW_005054361.1:3722687-3766254,-,-,55,93,6.209453366,-0.758,0.758,0.343093248,1,no,2,0,0
4354,-81,GYPC,mRNA,NW_005054298.1:12131524-12164843,+,-,20,35,4.781359714,-0.811,0.811,0.2418266,1,no,2,0,0
6577,-68,LOC102038583,mRNA,NW_005054392.1:2539531-2550310,+,-,19,30,4.614709844,-0.682,0.682,0.23759874,1,no,2,0,0
3670,-34,FKBP6,mRNA,NW_005054381.1:3201312-3223525,+,-,4,5,2.169925001,-0.344,0.344,0.698446749,1,no,0,0,0
457,81,ANGPTL4,mRNA,NW_005054441.1:1270916-1301918,+,-,33,19,4.700439718,0.807,0.807,0.042621744,1,no,2,0,0
5608,63,LOC102032244,mRNA,NW_005054532.1:778737-780769,-,-,70,46,5.857980995,0.628,0.628,0.321503935,1,no,2,0,0
8725,-45,LOC115948716,lnc_RNA,NW_005054485.1:1030476-1034590,+,-,16,22,4.247927513,-0.448,0.448,0.548978761,1,no,2,0,0
6269,-7,LOC102036614,mRNA,NW_005054573.1:634-9829,+,-,2,2,1,-0.067,0.067,0.951948576,1,no,0,0,0
