Order,Page ,Date ,island,Location,Species,band,Recap,Colors,Sex,Plumage,CP/BP,Bill Length,Bill Depth,Bill Width,Tarsus,Wing Chord,Mass,Nest ID ,Parent,Blood,Plasma,Slide ,Sperm,Park Blood,Trizol Blood,Molt,POX,HCT 1 ,HCT 2 ,HMCT %,Notes
26,3,1/26/2016,santa cruz,Gondor,GAMO,DC067,1,GySBlO,M,,,15.90,,,35.63,111.0,79.9,25,1,1,1,1,0,1,0,0,R,22.84,50.030,0.456526084,"missing two nailes, Recapture, nestling m20 2012"
27,3,1/26/2016,santa cruz,Gondor,GAMO,DC642,0,SORR,M,,,14.03,,,35.50,100.0,40.3,25,0,1,1,1,0,1,0,0,,29.40,66.830,0.439922191,
28,3,1/26/2016,santa cruz,Rohan ,GAMO,DC548,1,WYSBl,M,,CP2,15.04,,,33.76,105.4,45.8,122,1,1,1,0,0,1,0,0,U,27.78,61.440,0.452148438,"Recap M24, helper 2015, dad 2016, nestlings 1 day old"
29,3,1/27/2016,santa cruz,TT,GAMO,DC578,1,WRGyS,F,,BP3,16.20,,,35.85,99.0,36.5,103,1,1,1,1,0,1,1,0,U,26.90,62.140,0.432893466,"Recap nestling 2.2 2015, mom at 103"
30,3,1/27/2016,santa cruz,TT,GAMO,DC433,1,GWSGy,M,,CP3,15.17,,,34.49,110.0,46.8,103,1,1,1,1,0,1,0,0,U,27.87,62.470,0.446134144,"Male at 103, recap"
31,3,1/27/2016,santa cruz,TT,GAMO,DC434,1,OGGyS,M,,CP2,14.71,,,34.41,108.0,44.7,100,1,1,1,0,0,1,0,0,U,31.42,65.560,0.479255644,"Recaped, was at 103 2015"
32,3,1/27/2016,santa cruz,TT,GAMO,DC643,0,RSYR,F,,BP4,14.81,,,34.92,95.0,44.4,100,1,1,1,0,0,1,0,0,U,25.36,58.000,0.437241379,
33,3,1/27/2016,santa cruz,TT,GAMO,DC577,1,SRGG,M,,CP0,15.94,,,37.34,104.5,51.6,100,0,1,1,0,0,1,1,0,,25.70,60.640,0.423812665,Recap 103.2 2015
34,3,1/27/2016,santa cruz,TT,MAG,SH1203,0,,M,2,CP2,14.51,17.06,13.40,24.09,80.0,34.5,,,1,1,0,0,1,0,0,,28.67,64.740,0.442848316,
35,3,1/27/2016,santa cruz,UR,GAMO,DC410,1,RSRBl,M,,CP2,17.03,,,33.89,109.0,43.9,98,0,1,1,0,0,1,0,0,I,25.50,60.930,0.418513048,Bird has pox on left leg
36,4,1/27/2016,santa cruz,UR,GAMO,DC461,1,BkSGBl,M,,CP3,15.42,,,35.61,108.0,47.3,98,1,1,1,1,0,1,0,0,U,28.45,63.750,0.44627451,
37,4,1/28/2016,santa cruz,Rohan ,GAMO,DC405,1,BkSRR,M,,CP2,15.82,,,36.73,110.0,44.9,92,1,1,1,0,0,1,0,0,U,28.59,63.510,0.450165328,
38,4,1/28/2016,santa cruz,Pony,GAMO,DC647,0,GBlSY,M,,CP2,16.42,,,34.90,110.0,37.9,137,0,1,1,0,0,1,0,0,I,10.01,48.85,0.20,"Pox feet, Juvie at 137"
39,4,1/28/2016,santa cruz,Pony,GAMO,DC648,0,OSWO,M,,,14.61,,,34.67,109.0,47.5,137,1,1,1,0,0,1,0,0,U,27.38,62.43,0.44,dad at 137
40,4,1/28/2016,santa cruz,Pony,GAMO,DC649,0,WSRGy,F,,BP4,14.81,,,33.49,101.0,10.0,137,1,1,1,0,0,1,0,0,I,27.40,62.61,0.44,"pox feet, mom 137"
41,4,1/29/2016,santa cruz,Mordor,GAMO,DC448,1,SOBkG,M,,CP3,15.64,,,32.27,110.5,45.6,51,1,1,1,0,0,1,0,0,U,26.82,57.56,0.47,
42,4,1/29/2016,santa cruz,Mordor,GAMO,DC660,0,GSGBl,F,,BP4,15.20,,,30.47,101.0,44.4,51,1,1,1,0,0,1,0,0,I,15.87,40.08,0.40,pox on feet and tarsi
43,4,1/31/2016,santa cruz,UR,GAMO,DC610,1,OSRGy,M,,CP2,16.23,,,35.12,108.5,47.4,117,0,1,1,0,0,1,0,0,U,29.60,68.39,0.43,hole through nares 
44,4,2/1/2016,santa cruz,AZ,GAMO,DC664,0,BlSOG,F,,BP5,14.70,,,32.80,103.0,36.3,111,1,1,1,1,0,1,0,0,U,10.27,56.69,0.18,
45,4,2/1/2016,santa cruz,AZ,GAMO,DC549,1,BlSBkR,M,,CP3,15.59,,,39.29,112.0,49.6,24,1,1,1,0,0,1,0,0,U,30.13,64.12,0.47,
46,4,2/1/2016,santa cruz,Rohan,GAMO,DC551,1,SBkGG,M,,CP3,15.02,,,35.87,102.5,49.4,110,1,1,1,0,0,1,0,0,U,18.26,46.74,0.39,parent of 13d old chicks
47,4,2/1/2016,santa cruz,Rohan,GAMO,DC552,1,YWSO,F,,BP5,15.38,,,32.44,104.5,39.7,110,1,1,1,1,0,1,0,0,U,30.33,64.97,0.47,"parent of 13d old chicks, cloudy eye"
48,5,2/1/2016,santa cruz,Rohan,GAMO,DC665,0,YORS,F,,,15.57,,,34.67,100.5,30.6,53,1,1,1,0,0,1,0,0,I,30.55,66.56,0.46,"Pox on legs, parent of 10 day old chicks, small in hand"
49,5,2/1/2016,santa cruz,Rohan,GAMO,DC454,1,SOBlO,M,,CP2,15.75,,,35.64,108.5,43.8,53,1,1,1,0,0,1,0,0,I,19.60,49.92,0.39,"Pox on legs, parent of 10 day old chicks"
50,5,2/2/2016,santa cruz,Helms Deep,GAMO,DC639,1,RRSO,M,,CP2,16.77,,,36.86,108.0,47.4,140,1,1,1,0,0,0,0,0,U,24.75,58.37,0.42,12 day old chicks
51,5,2/2/2016,santa cruz,Helms Deep,GAMO,DC445,1,WSBlBk,F,,BP5,15.93,,,34.17,99.5,37.1,140,1,1,1,1,0,0,0,0,U,23.47,56.34,0.41657792,12 day old chicks
52,5,2/3/2016,santa cruz,Rivendale,GAMO,DC446,1,GRSBl,F,,BP5,14.79,,,36.46,104.0,40.4,86,1,1,1,1,0,1,0,0,U,12.03,51.82,0.23,14 day old chicks
53,5,2/3/2016,santa cruz,Rivendale,GAMO,DC443,1,SGYO,M,,CP0,15.36,,,37.73,114.0,46.5,86,0,1,1,1,0,1,0,0,I,26.97,66.91,0.40,"pox on upper tarsi, pox on feet"
54,5,2/3/2016,santa cruz,Rivendale,GAMO,DC554,1,OYBkS,M,,CP1,15.98,,,34.13,108.5,47.6,86,1,1,1,0,0,1,0,0,I,23.96,57.21,0.42,"probably dad, pox on tarsi and feet"
55,5,2/4/2016,santa cruz,Plot,GAMO,DC300,1,SORO,F,,BP5,14.90,,,34.48,103.0,44.5,131,1,1,1,0,0,1,0,0,U,9.97,14.67,0.68,no pox
56,5,2/4/2016,santa cruz,Plot,FOR,JP4455,1,GySOW,M,,,10.43,9.32,7.93,17.87,66.5,,,,0,0,0,0,0,0,0,,,,#DIV/0!,"band colors faded, no blood"
57,5,2/4/2016,santa cruz,Plot,GAMO,DC418,1,GBkSG,U,,,15.73,,,33.49,95.0,40.2,131,0,1,1,1,0,1,1,0,,18.30,38.78,0.47,fledged from water treated nest 2015
58,5,2/4/2016,santa cruz,Plot,CRA,SH1204,0,,F,,BP5,10.88,11.17,9.41,28.16,81.0,32.6,,,1,1,0,0,1,0,0,,28.86,60.48,0.48,Measured by AH
59,5,2/4/2016,santa cruz,UR,GAMO,DC457,1,GSBlR,M,,,15.12,,,36.17,,46.9,75,1,1,1,0,0,0,0,0,U,22.28,47.95,0.46,no chord
60,6,2/3/2016,santa cruz,UR,GAMO,DC423,1,GBSBl,M,,CP1,15.63,,,34.60,108.5,47.4,89,0,1,1,0,0,0,0,0,,28.82,64.99,0.44,
61,6,2/5/2016,santa cruz,UR,GAMO,DC679,0,OSOG,F,,BP5,14.18,,,32.12,101.0,36.3,40,1,1,1,0,0,1,0,0,U,,,#DIV/0!,
62,6,2/5/2016,santa cruz,UR,PAR,SH647,0,,U,,,7.20,6.76,6.27,19.84,62.0,12.4,,,1,1,0,0,0,0,0,I,33.40,64.21,0.52,pox foot
63,6,2/5/2016,santa cruz,Rivendale,GAMO,DC435,1,SGyGyGy,F,,BP5,14.36,,,34.85,100.0,39.9,25,1,1,1,0,0,1,0,0,I,19.77,56.02,0.35,"giant pox on face on top of bill, 8.89mm x 7.85mm, 11 day old chicks"
64,6,2/5/2016,santa cruz,Rivendale,GAMO,DC588,1,SWWY,M,,,16.02,,,35.39,109.0,46.9,25,0,1,1,0,0,1,0,0,I,25.07,60.99,0.41,"pox left foot, recap 42.2 2015, hct with bubble "
65,6,2/7/2016,santa cruz,Rohan,GAMO,DC688,0,SOGyGy,M,,CP1,14.48,,,35.49,107.5,40.7,91,1,1,1,0,0,1,0,0,U,26.87,60.06,0.45,
66,6,2/7/2016,santa cruz,Rohan,GAMO,DC597,1,OSWBl,M,,CP0/BP0,17.74,,,36.05,107.0,50.2,51,0,1,1,0,0,1,1,0,,15.11,36.72,0.41,recap 52.2 2015
67,6,2/7/2016,santa cruz,Rohan,GAMO,DC660,1,GSGBl,F,,BP5,15.77,,,31.22,102.5,37.0,51,1,1,1,1,0,0,0,0,I,27.75,58.67,0.47,"pox on bill, tarsi and feet"
68,6,2/7/2016,santa cruz,Rohan,GAMO,DC448,1,SOBkG,M,,CP3,15.14,,,34.47,108.5,44.0,51,1,1,1,0,0,0,0,0,U,26.60,62.17,0.43,
69,6,2/9/2016,santa cruz,Rohan,GAMO,DC456,1,SRBlBk,F,,BP4,15.18,,,35.62,101.0,43.7,91,1,1,1,0,0,1,0,0,I,21.16,61.66,0.34,"Philornis leson on abdomen (photos), pox lesion on foot, chicks 6 days old"
70,7,2/10/2016,santa cruz,UR,GAMO,DC697,0,GyYSBk,F,,BP5,15.07,,,32.99,102.5,41.2,75,1,1,1,1,0,0,0,0,I,13.63,42.35,0.32,"Giant pox lesion on right foot, pox on face, right leg bands not applied, 12 d old chicks"
71,7,2/10/2016,santa cruz,UR,GAMO,DC457,1,GSBlR,U,,CP0/BP0,15.27,,,36.81,112.0,43.4,75,1,1,1,0,0,0,0,0,U,18.86,39.94,0.47,Replaced red band
72,7,2/10/2016,santa cruz,UR,SCA,SH1205,0,,M,3,CP0/BP0,14.22,9.20,8.38,24.21,66.0,19.4,,0,1,1,0,0,1,0,0,R,28.57,63.20,0.45,"Crusty bill deformed digit right foot, measured by AH"
73,7,2/10/2016,santa cruz,UR,GAMO,DC460,1,RGSY,F,,BP5,14.81,,,33.67,103.0,43.3,98,1,1,1,1,0,0,0,0,I,20.44,51.08,0.40,Pox on right tarsus healing
74,7,2/11/2016,santa cruz,Shire,FOR,SH1206,0,,M,2,CP2,11.60,10.03,8.34,23.32,67.0,18.5,,0,1,1,0,0,1,0,0,I,,,#DIV/0!,"Pox tarsus, measured AH"
75,7,2/11/2016,santa cruz,Shire,FOR,SH1207,0,,M,2,,13.08,12.29,10.07,22.07,70.0,21.7,,0,1,1,0,0,1,0,0,,,,#DIV/0!,Slight crossbill 
76,7,2/11/2016,santa cruz,Shire,FOR,SH1208,0,,U,0,CP0/BP0,12.38,11.47,9.58,21.74,70.0,25.2,,0,1,1,0,0,1,0,0,I,,,#DIV/0!,"Pox feet, measured JY"
77,7,2/12/2016,santa cruz,Mordor,GAMO,DC701,0,BlOBlS,F,,BP5,14.30,,,33.46,104.0,40.8,52,1,1,1,1,0,1,0,0,U,19.16,51.09,0.38,"Mom at 52, 10 day old chicks dead"
78,7,2/12/2016,santa cruz,Mordor,PAR,SH648,0,SH648,M,,CP2,7.27,6.96,6.46,20.81,60.5,13.0,,0,1,1,0,0,1,0,0,,,,#DIV/0!,
79,7,2/14/2016,santa cruz,UR,GAMO,DC434,1,DC434,M,,CP2,14.64,,,33.33,106.0,45.3,100,0,1,1,1,0,0,0,0,,31.27,68.24,0.46,"dad at 100, 15d old chicks "
80,7,2/14/2016,santa cruz,UR,FOR,JP5466,1,JP5466,M,5,,,,,,,22.5,,0,0,0,0,0,0,0,1,,,,,"molting all rectrices, molting 3-5s, wing coverts, head"
81,7,2/15/2016,santa cruz,Rivendale,GAMO,DC444,1,OGBkS,M,,CP2,16.71,,,35.77,110.0,44.9,1,1,1,1,0,0,0,0,0,U,27.28,57.91,0.47,"Dad at 1, 1 day old chicks, 2nd nest of year"
82,8,2/15/2016,santa cruz,Rivendale,GAMO,DC440,1,RSWW,F,,BP3,14.98,,,33.49,103.0,43.0,1,1,1,1,1,0,0,0,0,I,19.66,46.09,0,"Pox on both tarsi, mom 1 d old chicks, second nest"
83,8,2/16/2016,santa cruz,UR,GAMO,DC702,0,BKWSBL,F,,BP4,15.13,,,35.43,104.0,42.6,35,1,1,1,1,0,1,0,0,I,22.10,41.67,0.53,"large pox lesions feet, d15 of incubation, red plasma"
84,8,2/16/2016,santa cruz,UR,FOR,SH1209,0,,F,0,BP5,12.24,10.81,9.13,21.57,69.0,14.4,,0,1,1,0,0,1,0,1,,,,#DIV/0!,"Feathers growing on breast, molt: p3r, p4-6L, head, wing coverts and body. measured AH"
85,8,2/16/2016,santa cruz,UR,GAMO,DC408,1,OBkYS,M,,,16.93,,,37.08,111.0,46.3,35,1,1,1,0,0,1,0,0,I,29.55,61.46,0.48,"swollen and clogged nares, pox legs"
86,8,2/16/2016,santa cruz,Shire,FOR,SH1210,0,,U,0,BP0/CP0,11.82,11.80,9.69,19.89,67.5,19.8,,0,1,1,0,0,1,0,1,I,,,#DIV/0!,"molt: p9, p2-4L, slight body molt, small pox lesion"
87,8,2/16/2016,santa cruz,Shire,FOR,SH1211,0,,F,0,,11.14,11.08,9.44,20.05,65.0,19.7,,0,1,1,1,0,1,0,1,,,,#DIV/0!,"polt p3s, slight head molt and coverts, bp feathers growing in "
88,8,2/16/2016,santa cruz,Shire,FOR,SH1212,0,,U,0,BP0/CP0,11.15,11.12,9.72,21.57,64.0,19.6,,0,1,1,0,0,1,0,1,I,,,#DIV/0!,"pox r leg, slight yellow gape, molt p5l, body molt"
89,8,2/16/2016,santa cruz,Shire,FOR,SH1213,0,,M,4,CP0,12.66,12.05,9.58,21.00,70.5,21.3,,0,1,1,1,0,1,0,1,,,,#DIV/0!,"molt p2-4L, p2R, head molt, tertials 2-3"
90,8,2/16/2016,santa cruz,Shire,GAMO,DC703,0,SBlYBl,M,,CP2,15.14,,,35.74,108.5,51.9,90,1,1,1,0,0,1,0,1,U,24.84,63.98,0.39,molt p1 and p2s
91,8,2/16/2016,santa cruz,Shire,GAMO,DC704,0,GySBkO,F,,BP4,14.13,,,33.79,94.5,38.1,90,1,1,1,0,0,1,0,0,U,19.01,50.36,0.38,
92,8,2/16/2016,santa cruz,Shire,FOR,SH1214,0,,M,4,CP0,13.82,9.52,8.22,22.72,69.5,23.4,,0,1,1,0,0,1,0,1,,11.64,29.43,0.40,"molt: p1, p4-5, p6L, p2,4 R, body molt"
93,9,2/17/2016,santa cruz,Gondor,GAMO,DC631,1,OSBkO,M,,CP2,16.52,,,36.30,105.0,48.1,,0,1,1,0,0,0,0,0,,,,#DIV/0!,
94,9,2/17/2016,santa cruz,Gondor,SCA,SH1215,0,,M,3,CP0,14.20,8.64,7.72,23.45,68.0,16.1,,0,1,1,0,0,1,0,0,U,,,#DIV/0!,"Measured by AH, no pox"
95,9,2/17/2016,santa cruz,Gondor,FUL,JP845,1,,F,0,BP5,8.48,7.09,6.59,19.30,61.0,14.1,,0,1,1,0,0,1,0,0,U,,,#DIV/0!,"Recapture, measured AH, no pox"
96,9,2/17/2016,santa cruz,Gondor,FUL,SH649,0,,M,5,CP2,8.42,6.17,6.94,21.44,62.0,14.2,,0,1,1,0,0,1,0,0,U,,,#DIV/0!,"No pox, missing claw on foot, measured AH"
97,9,2/17/2016,santa cruz,Gondor,FOR,SH1216,0,,U,0,,11.64,11.05,8.29,20.35,68.0,20.8,,0,1,1,0,0,1,0,0,R,,,#DIV/0!,"Missing toe R foot, lesions on feet, pox, measured JY"
98,9,2/17/2016,santa cruz,Gondor,CRA,SH1217,0,,M,,CP1,10.67,11.99,10.05,26.48,80.5,36.5,,0,1,1,0,0,0,0,1,U,,,#DIV/0!,"No lesions, molt: P1-4S"
99,9,2/17/2016,santa cruz,Gondor,FOR,SH1218,0,,M,5,CP0,11.34,10.92,8.84,19.93,70.0,20.1,,0,1,1,0,0,1,0,1,,,,#DIV/0!,Molting
100,9,2/17/2016,santa cruz,Gondor,FUL,SH650,0,,M,3,CP1,8.66,7.34,6.78,18.99,61.0,16.3,,0,1,1,0,0,1,0,0,,,,#DIV/0!,
101,9,2/17/2016,santa cruz,Gondor,GAMO,DC300,1,SORO,F,,BP5,15.01,,,33.69,101.5,44.8,131,1,1,1,0,0,1,0,1,U,25.50,62.26,0.41,Molt: P1-2S
102,9,2/17/2016,santa cruz,Gondor,FOR,SH1219,0,,U,0,BP0/CP0,10.00,9.40,8.53,19.01,64.5,18.8,,0,1,1,0,0,1,0,0,,,,#DIV/0!,Molt S1S
103,9,2/17/2016,santa cruz,Gondor,SCA,SH1220,0,,F,0,BP5,13.52,8.10,7.15,20.74,64.5,17.9,,0,1,1,0,0,1,0,0,I,,,#DIV/0!,Pox on tarsi
104,9,2/18/2016,santa cruz,TT,FOR,SH1221,0,,M,2,CP1,11.65,10.79,8.48,19.83,67.0,19.5,,0,1,1,1,0,1,0,0,I,,,#DIV/0!,"pox R foot, missing claw"
105,10,2/18/2016,santa cruz,UR,GAMO,DC642,1,RSYR,M,,CP1,14.55,,,33.91,95.0,409.0,101,0,1,1,1,0,0,0,1,,26.71,64.09,0.42,"Molt: p2L, measured AH, hole through nares"
106,10,2/18/2016,santa cruz,Rohan,FOR,SH1222,0,,M,3,CP0,12.82,11.75,10.00,21.25,70.5,22.0,,0,1,1,0,0,1,0,1,U,,,#DIV/0!,"molt: p9L, P8-9R, body molt, slight head molt, no pox, tail molt"
107,10,2/18/2016,santa cruz,Rohan,FOR,SH1223,0,,M,2,CP0,11.45,11.91,9.92,22.53,69.5,22.9,,0,1,1,1,0,1,0,1,,,,#DIV/0!,"slight body molt, p6s"
108,10,2/18/2016,santa cruz,Rohan,FOR,SH1224,0,,M,2,CP0,11.73,11.34,9.14,21.10,65.0,20.3,,0,1,1,0,0,1,0,1,,,,#DIV/0!,"molt: P4L, P5R, body molt"
109,10,2/18/2016,santa cruz,Rohan,FUL,SH651,0,,M,5,CP0,8.23,6.81,6.30,18.20,59.5,13.2,,0,1,1,0,0,1,0,1,,,,#DIV/0!,"nare cloged, molt: P2-3S, body molt"
110,10,2/18/2016,santa cruz,Rohan,GAMO,DC644,1,SYYBL,U,,,12.88,,,33.92,99.0,39.1,92,0,1,1,1,0,1,0,0,,25.11,58.08,0.43,"Fledgling 2016 92, netted between 92 and 53"
111,10,2/18/2016,santa cruz,AZ,GAMO,DC549,1,BlSBkR,M,,CP3,15.63,,,37.26,109.0,48.4,24,1,1,1,0,0,1,0,1,U,21.94,51.43,0.43,"Hole through nares, 2d old chicks, molting P1-2S"
112,10,2/19/2016,santa cruz,Beach ,GAMO,DC705,0,SYBkR,M,,CP2,14.66,,,35.13,113.0,44.0,59,1,1,1,1,0,1,0,1,U,29.40,68.39,0.43,"Measured JY, not molting, 12d old chicks"
113,10,2/19/2016,santa cruz,Beach ,GAMO,DC706,0,GOGS,F,,BP5,15.77,,,35.27,106.5,36.0,59,1,1,1,1,0,1,0,0,U,22.91,66.02,0.35,"Measured AH, 12d old chicks"
114,10,2/19/2016,santa cruz,Beach ,FUL,SH652,0,,M,5,CP1,8.59,7.83,7.16,21.80,64.0,15.9,,0,1,1,0,0,1,0,0,I,,,#DIV/0!,"Measured AS, pox 1 foot"
115,10,2/19/2016,santa cruz,Beach ,CRA,SH1226,0,,U,,,9.96,9.47,11.21,24.79,80.5,30.9,,0,1,1,0,0,1,0,1,,,,,Body and head molt
116,10,2/19/2016,santa cruz,Beach ,FOR,SH1227,0,,U,0,BP0/CP0,12.78,12.27,10.04,21.19,69.5,24.0,,0,1,1,0,0,1,0,1,,,,,Body molt
117,11,2/19/2016,santa cruz,Beach ,FUL,C071604,1,,M,5,CP1,8.50,7.03,6.72,20.52,61.5,14.2,,,1,1,0,0,1,0,1,I,,,,"Pox on feet, slight body molt"
118,11,2/19/2016,santa cruz,Beach ,CRA,SH1229,0,,U,,CP0/BP0,10.82,11.58,9.40,26.36,75.0,31.9,,,1,1,0,0,1,0,1,I,,,,"pox on right hallux, no molt"
119,11,2/19/2016,santa cruz,Beach ,SCA,SH1230,0,,M,4,CP0,15.37,9.86,9.10,21.41,68.0,26.0,,,1,1,0,0,1,0,1,,,,,"molt: p1,3R; p1,2L"
120,11,2/19/2016,santa cruz,Beach ,SCA,SH1231,0,,M,3,CP0,15.31,9.08,7.81,23.10,72.0,22.6,,,1,1,0,0,1,0,1,,,,,"molt: P4R,P1L"
121,11,2/19/2016,santa cruz,Beach ,FOR,SH653,0,,M,5,CP1,10.42,8.35,7.21,19.24,62.0,16.0,,,1,1,0,0,1,0,1,,,,,"beak very small, body and head molt"
122,11,2/19/2016,santa cruz,Beach ,GAMO,DC707,0,WYWS,M,,CP3,19.12,,,35.72,106.0,52.2,59,0,1,1,0,0,1,0,0,I,24.00,64.62,0.37,"unsure of territory, long beak overhang, 2.26mm, pox on tarsi"
123,11,2/22/2016,santa cruz,TT,GAMO,DC478,1,BkSBlBk,M,,CP2,14.83,,,35.20,104.5,44.1,74,1,1,1,0,0,0,0,0,U,25.47,65.66,0.39,hole through septum
124,11,2/23/2016,santa cruz,Los Gemelos,FUL,SH654,0,,M,5,CP3,8.25,8.19,6.83,19.08,62.0,14.2,,0,1,1,0,0,1,0,1,U,,,,"no pox, not molting"
125,11,2/23/2016,santa cruz,Los Gemelos,PAL,SH1232,0,,M,,CP3,11.08,9.04,7.99,22.43,69.0,22.5,,0,1,1,0,0,1,0,1,U,,,,no pox/molt
126,11,2/23/2016,santa cruz,Los Gemelos,OLI,SH612,0,,F,,BP4,7.50,4.45,4.55,21.34,54.0,11.3,,0,1,1,0,0,1,0,0,,,,,measured JY
127,11,2/23/2016,santa cruz,Los Gemelos,PAL,SH1233,0,,M,,CP4,12.04,8.01,7.40,23.60,73.0,23.4,,0,1,1,0,0,1,0,1,U,,,,"no pox/molt, measured JY"
